"","sample","tissue","endometriosis","severity","p236027_at","p238794_at","SFR1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.44816,2.817423,4.6327915
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.510748,3.714081,5.1124145
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.460771,3.426625,4.943698
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.426625,4.92731
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.582074,5.0050345
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46992,3.462166,5.466043
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.781425,2.663122,4.2222735
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.814835,3.481872,5.1483535
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.237154,3.527817,4.8824855
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.65989,5.0439425
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.863523,3.481872,5.1726975
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,4.692324,5.5601595
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.816361,2.663122,4.7397415
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.426625,4.92731
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.67591,5.0519525
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.44619,3.542531,5.4943605
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.432519,3.571867,5.002193
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.584138,3.587761,5.0859495
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.472526,4.9502605
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.92199,5.149245,6.0356175
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,3.620935,5.024465
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.363711,4.1162,5.2399555
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.775117,2.772317,4.773717
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.427995,4.023396,5.2256955
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.831541,3.50882,4.6701805
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.804945,3.481872,4.1434085
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.652699,3.481872,4.5672855
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.049863,3.547764,4.7988135
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.779127,3.426625,4.602876
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.744835,3.481872,4.6133535
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.175645,3.481872,4.8287585
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.948782,3.463555,4.7061685
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.569602,3.481872,4.525737
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.933668,3.426625,4.6801465
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.383332,3.528788,4.95606
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.560973,3.670745,5.115859
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.237252,3.481872,4.859562
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.427995,4.881587,5.654791
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.427995,3.481872,4.9549335
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.336315,3.426625,4.88147
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.367072,3.481872,4.924472
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.427995,3.687289,5.057642
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.43742,3.426625,4.9320225
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.650539,3.101438,4.8759885
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.415687,4.746003,5.580845
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.35839,4.088567,5.2234785
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.184505,3.481872,4.8331885
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.938287,3.481872,5.2100795
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.027985,3.558616,4.7933005
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.49538,3.426625,4.4610025
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.933993,3.481872,4.7079325
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.081458,4.52988,5.305669
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.766317,3.477435,4.621876
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.64081,3.565939,4.6033745
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.087776,3.549876,4.818826
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.863105,5.271972,6.0675385
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.674959,3.549876,4.6124175
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.249094,4.405047,5.3270705
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.416315,5.693403,6.054859
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.082429,3.782194,4.9323115
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.64081,3.426625,4.5337175
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.237168,4.591581,5.4143745
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.347422,3.549876,4.948649
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.204398,4.389145,5.7967715
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.52819,5.42108,5.974635
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.859121,3.428471,4.643796
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.530112,3.481872,4.505992
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.767303,6.238228,7.0027655
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.682244,6.168826,6.925535
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.133683,5.703134,6.4184085
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.454951,6.334826,6.8948885
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.24646,5.796163,6.5213115
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.353745,6.536614,6.9451795
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.915429,5.718979,6.317204
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.503659,6.409422,6.9565405
