"","sample","tissue","endometriosis","severity","p226273_at","p226274_at","CLCN5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.170063,6.06541,5.6177365
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.986701,6.343434,5.6650675
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.352479,5.775595,5.564037
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.712255,4.601416,3.6568355
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.950659,5.860736,5.4056975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.751391,5.744223,4.247807
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.693611,4.900432,4.2970215
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.170451,6.597595,6.384023
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.468776,5.949437,5.7091065
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.288628,5.791239,5.0399335
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.741776,7.272799,7.0072875
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.25332,5.791239,5.5222795
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.5947,5.367999,4.9813495
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.824501,7.694001,7.259251
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.902165,5.878267,5.890216
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.037945,5.286577,4.162261
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.54976,5.439201,4.4944805
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.793602,4.81243,4.303016
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.231434,3.85053,3.540982
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.440115,4.324398,3.3822565
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.468112,5.791239,4.1296755
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.366073,3.752912,3.0594925
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.716871,4.961901,3.839386
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.440115,4.063892,3.2520035
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.440115,2.841228,2.6406715
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.739417,4.950547,3.844982
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.440328,4.572747,3.5065375
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.449254,5.788087,4.1186705
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.735396,5.726891,4.2311435
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.449254,5.167989,3.8086215
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.440115,5.149718,3.7949165
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.449254,5.791239,4.1202465
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.712255,5.439201,4.075728
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.629835,5.439201,4.034518
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.235536,6.721851,5.4786935
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.715538,4.498719,3.6071285
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.491548,5.439201,3.9653745
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.47287,6.802561,4.6377155
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.440115,4.596467,3.518291
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.440328,4.436197,3.4382625
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.440328,5.106095,3.7732115
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.440328,3.803208,3.121768
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.440328,4.0651,3.252714
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.308206,5.237553,3.7728795
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.696081,5.084543,3.890312
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.483166,5.804145,4.1436555
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.440328,5.439201,3.9397645
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.440115,4.485593,3.462854
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.516701,5.439201,3.977951
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.716871,5.439201,4.078036
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.449254,4.901893,3.6755735
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.440115,5.439201,3.939658
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.449254,4.663057,3.5561555
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.449254,5.215972,3.832613
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.470381,5.879266,4.1748235
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.716319,6.496889,4.606604
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.449254,5.878267,4.1637605
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.45151,5.791239,4.1213745
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.320706,5.260635,3.7906705
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.449254,6.812546,4.6309
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.757586,5.791239,4.2744125
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.440115,5.791239,4.115677
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.716871,6.268293,4.492582
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.439201,3.837634
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.754118,6.342802,4.54846
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.440429,5.792587,4.116508
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.449254,6.382904,4.416079
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.697952,6.895691,5.2968215
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.321649,7.03932,5.6804845
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.882898,7.016056,5.449477
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.117733,5.791239,4.454486
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.252453,7.629571,5.441012
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.709652,6.438358,5.074005
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.706454,7.592489,6.1494715
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.005905,7.038896,6.0224005
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.815039,6.977027,5.396033
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.463712,7.047693,5.7557025
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.800286,5.59934,4.699813
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.826697,7.183522,6.0051095
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.514708,7.804893,7.1598005
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.510301,7.092039,5.30117
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.298945,7.744591,6.521768
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440542,5.078429,3.7594855
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.633258,6.640637,4.6369475
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.449254,6.606444,4.527849
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.281864,3.892869,3.0873665
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.67393,5.655327,4.1646285
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440115,3.96283,3.2014725
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.614144,6.94135,4.777747
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.449254,5.55994,4.004597
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.519508,6.270374,4.394941
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.716871,5.439201,4.078036
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440115,2.919005,2.67956
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440115,5.171994,3.8060545
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.449254,5.360439,3.9048465
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.471606,5.288336,3.879971
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,5.682055,3.959061
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.449254,4.436443,3.4428485
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.442852,5.68701,4.564931
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.712255,5.791239,4.251747
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.249566,6.947939,5.0987525
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.751578,7.539208,5.645393
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.374384,5.878267,4.1263255
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.449254,5.675854,4.062554
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.712255,5.153932,3.9330935
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.443923,5.79196,4.1179415
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440328,6.485743,4.4630355
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440328,3.506153,2.9732405
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440115,6.352977,4.396546
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.456539,5.814097,4.135318
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.440328,5.439201,3.9397645
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.585943,5.75957,4.1727565
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.447673,6.636311,4.541992
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.986333,5.286204,4.6362685
