"","sample","tissue","endometriosis","severity","p225298_at","p233177_s_at","PNKD"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.875685,9.876539,9.376112
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.117819,8.532521,8.82517
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.139725,5.851264,6.4954945
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.461273,8.210845,8.336059
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.978987,8.215244,8.0971155
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.735594,8.680547,8.7080705
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.592376,8.615729,8.1040525
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.589442,6.365463,7.4774525
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.03883,8.311516,8.675173
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.359664,8.087993,8.2238285
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.410461,6.581462,7.4959615
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.513586,6.924852,7.719219
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.958752,9.22446,8.091606
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.496326,5.743733,7.1200295
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.033052,8.84121,8.937131
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.729433,8.731479,8.730456
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.459277,8.81548,8.6373785
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.434978,8.76939,8.602184
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.215468,8.051328,8.133398
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.767392,10.504583,10.6359875
