"","sample","tissue","endometriosis","severity","p1552347_at","p1554767_s_at","p219767_s_at","CRYZL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.855888,6.696135,6.985042,7.17902166666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.173607,7.607452,6.536161,7.43907333333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.710836,5.840431,6.422471,6.32457933333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.643257,6.504065,6.08778,6.745034
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.855805,7.074137,6.979048,6.96966333333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.605945,6.46746,5.69745,6.590285
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.228112,5.931649,5.409604,6.18978833333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.577719,6.836866,6.399243,7.271276
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.075264,7.520387,6.821786,7.80581233333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.165932,6.322936,6.332723,6.607197
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.954747,7.476944,6.983764,7.47181833333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.347044,6.804043,6.894545,7.348544
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.151681,5.931649,5.359158,6.147496
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.157457,6.429082,6.752422,7.112987
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.961418,6.592917,6.856023,7.136786
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.73604,6.294677,6.663937,6.898218
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.562801,6.613785,6.420782,6.86578933333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.358185,6.418417,5.728121,6.50157433333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.738347,6.703641,6.416607,6.952865
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.699543,5.70273,5.556283,6.31951866666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.69737,5.931649,5.834908,6.48797566666667
