"","sample","tissue","endometriosis","severity","p220775_s_at","p230176_at","UEVLD"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.476931,9.116722,8.2968265
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.141488,7.730157,7.4358225
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.681028,6.979722,6.830375
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.986707,7.946655,7.466681
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.852149,8.818736,8.3354425
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.220556,9.162231,8.1913935
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.253163,7.817944,7.0355535
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.346947,8.30794,7.3274435
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.564821,7.703784,7.6343025
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.491635,9.023365,8.7575
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.971724,8.215506,8.093615
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.056073,8.666911,7.861492
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.401778,7.861811,7.1317945
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.99032,8.814885,7.9026025
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.272809,8.718862,7.9958355
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.795436,9.022879,8.4091575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.336925,9.021644,8.1792845
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.825207,9.588617,8.706912
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.176041,9.162093,8.669067
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.703074,6.510401,5.6067375
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.505578,6.897401,6.2014895
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.959501,7.594089,6.776795
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.935168,7.337954,6.636561
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.67744,6.771308,6.224374
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.212107,6.458542,5.8353245
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.169964,6.771308,5.970636
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.83345,5.604819,5.2191345
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.333731,7.261287,6.297509
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.880791,7.432163,6.156477
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.610454,6.413589,5.5120215
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.610454,6.165704,5.388079
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.971221,6.977143,5.974182
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.880791,6.154514,5.5176525
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.880791,5.739139,5.309965
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.533265,8.560964,8.0471145
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.282519,7.57489,6.4287045
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.069801,6.003695,5.536748
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.743253,8.118668,7.4309605
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.351821,6.785464,6.0686425
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.698648,6.771308,6.234978
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.056843,7.579414,6.8181285
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.016409,6.665651,5.84103
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.090616,6.771308,5.430962
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.396349,7.85609,7.1262195
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.632533,6.670234,6.1513835
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.230434,7.30378,6.267107
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.077727,5.730368,4.9040475
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.431218,6.771308,6.101263
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.880791,6.771308,5.8260495
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.880791,6.064368,5.4725795
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.669061,5.667433,5.168247
