"","sample","tissue","endometriosis","severity","p211769_x_at","p221473_x_at","SERINC3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.477749,8.851384,9.6645665
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.641851,9.386871,10.014361
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.419497,9.358168,10.3888325
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.66779,9.691549,10.6796695
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.555928,8.424227,9.4900775
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.380578,9.313082,10.34683
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.51587,9.321097,10.4184835
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.535354,8.582552,9.558953
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.868627,9.356271,10.112449
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.615811,8.96459,9.7902005
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.990404,8.465365,9.2278845
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.269519,8.027761,9.14864
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.039303,7.820045,8.929674
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.871928,9.146875,10.0094015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.329874,9.973156,10.651515
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.525467,9.893374,10.7094205
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.642041,9.903579,10.77281
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.149804,8.904172,10.026988
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.609632,8.454643,9.5321375
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.482464,7.223699,7.8530815
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.309814,6.32273,6.816272
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.80132,6.812942,7.307131
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.843338,6.995031,7.4191845
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.533925,5.705682,6.6198035
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.531321,6.643568,7.0874445
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.845393,4.799502,5.8224475
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.329985,4.772262,5.0511235
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.669287,6.108455,6.888871
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.506815,6.830937,7.168876
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.468637,4.703046,5.0858415
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.392377,4.775871,5.084124
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.726168,5.675728,5.700948
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.394146,5.113737,5.2539415
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.269638,5.181018,5.225328
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.09983,7.701868,8.400849
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.013707,7.407381,8.210544
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.148833,5.286363,6.217598
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.324877,7.090604,7.7077405
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.557962,4.959861,5.2589115
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.816688,6.10883,6.462759
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.941931,6.037129,6.48953
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.839833,7.29475,8.0672915
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.204876,4.799502,5.002189
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.398778,6.954947,7.6768625
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.761279,6.487853,7.124566
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.616119,5.291625,5.953872
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.862488,3.895435,4.3789615
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.102578,6.578728,7.340653
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.354807,7.031718,7.6932625
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.269638,4.046129,4.6578835
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.62756,5.634198,6.130879
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.883659,5.59877,6.2412145
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.229778,4.799502,5.51464
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.843169,6.280524,7.0618465
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.218539,6.019706,6.6191225
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.24568,7.031588,7.638634
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.13757,5.625273,6.3814215
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.971062,7.505975,8.2385185
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.440251,7.405955,8.423103
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.964177,6.514696,7.2394365
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.22306,6.665702,7.444381
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.328154,7.256038,7.792096
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.42612,7.10274,7.76443
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.013894,7.563242,8.288568
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.615089,7.1852,7.9001445
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.713067,6.361594,7.0373305
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.257283,5.889369,6.573326
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.595993,7.107826,7.8519095
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.390707,7.956328,8.6735175
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.382299,8.03204,8.7071695
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.817705,8.199093,9.008399
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.085007,7.711725,8.398366
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.576073,8.134138,8.8551055
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.104567,7.56865,8.3366085
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.624378,8.166855,8.8956165
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.750995,8.573626,9.1623105
