"","sample","tissue","endometriosis","severity","p203943_at","p225205_at","KIF3B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.232115,9.152168,8.6921415
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.403389,9.164174,8.7837815
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.045304,8.522256,8.28378
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.371929,9.404533,8.888231
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.108988,9.10745,8.108219
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.287725,9.523582,8.9056535
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.087215,9.394835,9.241025
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.644071,8.972305,8.808188
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.67553,8.915805,8.7956675
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.953935,9.319815,8.636875
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.003908,8.900536,8.952222
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.899077,9.036264,8.9676705
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.745266,8.242725,7.9939955
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.154174,9.129058,8.641616
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.455195,9.280611,8.867903
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.834671,9.693035,9.263853
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.376383,9.41667,8.8965265
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.723571,9.201647,8.962609
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.560881,8.718337,8.639609
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.886449,7.884018,7.8852335
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.999344,7.990307,7.9948255
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.769267,8.02248,7.8958735
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.638274,8.081602,7.859938
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.960955,7.931408,7.9461815
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.264315,7.240198,6.7522565
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.052342,6.953672,6.503007
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.628897,6.986935,7.307916
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.660102,7.972416,7.816259
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.479939,7.616259,7.548099
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.213771,6.859869,6.53682
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.914756,7.553481,7.7341185
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.589148,7.670428,7.129788
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.404575,6.181298,6.2929365
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.689588,6.564206,6.126897
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.510511,9.639735,9.075123
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.382822,8.066552,7.224687
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.917132,7.020903,6.9690175
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.262331,9.377954,9.3201425
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.842813,7.131644,6.9872285
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.949988,7.430837,7.6904125
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.960955,8.159244,8.0600995
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.456065,7.517441,7.486753
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.266469,6.783652,7.0250605
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.387543,8.43654,8.4120415
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.039653,6.993726,7.0166895
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.805096,7.867723,7.8364095
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.604836,7.46958,7.037208
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.216911,7.817233,7.517072
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.989041,7.875427,7.932234
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.863462,7.125204,6.994333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.323921,7.098142,7.2110315
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.576101,7.770622,7.6733615
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.859913,7.440971,6.650442
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.666701,7.789302,7.7280015
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.446021,7.99262,7.7193205
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.054067,8.817831,8.435949
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.68968,7.859892,7.774786
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.440506,9.052646,8.746576
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.434511,8.775199,8.604855
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.41604,8.820518,8.618279
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.542515,8.500971,8.021743
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.307543,8.88033,8.5939365
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.960955,8.808097,8.384526
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.928298,8.752003,8.3401505
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.64516,9.057404,8.851282
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.898058,7.799437,7.3487475
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.372664,7.606048,7.489356
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.623999,9.479785,9.051892
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.845066,9.62972,9.237393
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.846884,9.39381,9.120347
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.613992,9.122419,8.8682055
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.26574,10.023547,9.6446435
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.751222,9.301219,9.0262205
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.797803,9.313482,9.0556425
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.892512,9.406382,9.149447
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.192734,9.985306,9.58902
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.84996,9.705468,9.277714
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.160879,9.425486,9.2931825
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.306577,9.606649,9.456613
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.679341,10.270647,10.474994
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.258123,9.354781,9.306452
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.471493,9.240111,8.855802
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.960955,8.281375,8.121165
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.927354,9.38727,9.157312
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.960955,8.438561,8.199758
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.892607,8.222791,8.057699
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.128038,7.185146,7.156592
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.874305,7.912729,7.893517
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.259947,7.94527,7.6026085
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.201709,7.83803,7.5198695
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.850011,9.412407,9.131209
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.330606,7.741575,7.5360905
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.57447,7.642233,7.6083515
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.642582,8.365804,8.004193
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.212586,8.393026,8.302806
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.144224,8.187886,8.166055
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.68367,8.215812,7.949741
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.121706,7.855386,7.988546
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.304895,7.223839,7.264367
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.592663,7.802579,8.197621
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.366166,8.359838,8.363002
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.319354,8.53906,8.429207
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.823576,8.609392,8.716484
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.745719,7.397872,7.0717955
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.417238,8.448092,8.432665
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.653269,8.281545,8.467407
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.475497,8.438153,8.456825
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.197658,8.236675,7.7171665
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.606829,8.470787,8.538808
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.750811,8.065188,7.9079995
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.571644,7.80447,7.688057
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.136596,8.271483,8.2040395
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.766758,8.850598,8.808678
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.866225,9.264942,9.0655835
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.143217,10.145129,9.644173
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.693988,9.384754,9.039371
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.960955,9.612758,8.7868565
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.034134,9.293032,9.163583
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.249521,9.198314,8.7239175
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.225363,9.282053,8.753708
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.290655,8.659004,8.4748295
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.174267,9.40706,9.2906635
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",8.441726,9.590625,9.0161755
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.897124,10.28432,10.090722
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.579127,8.917413,8.74827
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.445946,9.985715,9.7158305
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.196398,9.43476,9.315579
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.158148,9.513322,9.335735
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.35334,9.666648,9.509994
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.226332,9.237149,9.2317405
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.744536,9.107179,8.9258575
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.193604,9.663158,9.428381
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.872809,9.46126,9.1670345
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.719627,9.422871,9.071249
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.99259,9.559727,9.2761585
