"","sample","tissue","endometriosis","severity","p240509_s_at","p220794_at","GREM2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.194261,8.046526,7.6203935
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.719905,9.076854,7.3983795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.886482,6.726848,5.306665
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.782989,8.714919,8.248954
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.662132,7.085939,5.3740355
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.179436,7.452339,6.3158875
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.784392,3.723509,3.2539505
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.886482,5.260002,4.573242
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.886482,4.89281,4.389646
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.817249,8.441726,7.1294875
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.748549,8.577802,7.6631755
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.425217,3.723509,3.074363
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.837895,3.723509,3.280702
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.465178,5.346688,5.905933
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,2.308585,2.272326
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.473957,2.308585,2.391271
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,3.723509,2.979788
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.759425,6.499688,5.1295565
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.008436,5.260002,4.134219
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.851275,6.68506,5.7681675
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.886482,5.260002,4.573242
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.886482,4.768081,4.3272815
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.886482,6.262111,5.0742965
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.401035,6.669268,5.5351515
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.008436,5.260002,4.134219
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.89905,6.136413,4.5177315
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.491121,7.277708,7.3844145
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,3.723509,2.979788
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.2494,6.368545,5.3089725
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.694446,5.97681,5.335628
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.415871,6.641284,5.5285775
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.008436,3.965599,3.4870175
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.886482,5.260002,4.573242
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,3.723509,2.979788
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.784392,4.217625,3.5010085
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.640669,6.639461,6.140065
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.886482,5.913831,4.9001565
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,3.741964,2.9890155
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.784392,5.18386,3.984126
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.869556,7.011361,6.4404585
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.886482,6.890324,5.388403
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,3.723509,2.979788
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.008436,3.91753,3.462983
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.720047,8.970403,7.845225
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.008436,4.606801,3.8076185
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.306276,6.943833,7.1250545
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.784392,3.723509,3.2539505
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,2.93599,2.5860285
