"","sample","tissue","endometriosis","severity","p40562_at","p564_at","p214679_x_at","p213766_x_at","p213944_x_at","GNA11"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.143364,6.521028,8.23427,8.414404,7.936669,7.649947
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.927172,6.738856,7.697652,8.32975,7.856283,7.5099426
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.806266,5.031953,7.272407,7.895819,7.936669,6.7886228
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.510652,7.125309,8.592662,8.868189,7.936669,8.0066962
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.654969,8.110479,8.322363,8.331111,7.772357,8.0382558
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.394702,7.422195,8.450836,9.236567,8.14219,8.129298
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.908596,6.127617,8.840471,8.515957,8.058831,7.6902944
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.512858,6.001522,7.952342,7.799852,7.814907,7.2162962
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.215372,6.196047,7.727906,8.596216,7.936669,7.534442
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.950821,6.639303,8.322363,9.210579,7.936669,7.811947
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.746484,5.982186,8.109868,8.695237,7.581391,7.4230332
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.677792,6.348819,8.1174,8.442804,7.506223,7.4186076
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.861334,7.078406,7.099753,8.388486,7.477028,7.5810014
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.61974,5.955513,8.337863,9.297868,7.983985,7.6389938
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.73618,6.001006,8.104355,9.028586,7.936669,7.5613592
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.702854,6.313173,8.322363,8.950584,7.936669,7.6451286
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.118503,6.839751,8.494044,9.208498,8.025455,7.9372502
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.441668,7.139427,8.785927,9.294965,8.374063,8.20721
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.661162,6.862891,8.322363,9.151853,7.945375,7.9887288
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.863058,11.10801,9.716214,10.602829,9.800608,10.4181438
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.509592,10.790501,9.473601,10.421241,9.327822,10.1045514
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.599581,10.852168,9.941419,10.946188,9.780384,10.423948
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.90869,10.062281,8.952499,10.028028,9.096617,9.609623
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.257025,11.640421,10.358455,11.050906,10.220246,10.9054106
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.926507,11.266152,9.990604,10.74366,9.893012,10.563987
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.33133,11.57916,10.021109,10.790952,10.124457,10.7694016
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.95449,11.325673,9.992948,10.77705,9.820559,10.574144
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.451338,10.792696,9.411155,10.074567,9.500763,10.0461038
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.774687,10.264453,8.783347,9.617278,8.517823,9.3915176
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.189451,11.451932,9.862725,10.484722,9.630669,10.5238998
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.936154,11.33448,9.433547,10.346445,9.384893,10.2871038
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.653431,10.992937,9.673269,10.456389,9.593593,10.2739238
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.180073,11.800567,10.410004,11.13038,10.408612,10.9859272
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.194996,11.544513,10.257895,11.155732,10.245705,10.8797682
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.443911,9.81262,8.42188,9.663079,8.516346,9.1715672
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.969149,11.274979,10.205913,11.10593,10.026,10.7163942
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.99566,11.248079,9.803876,10.771441,9.997253,10.5632618
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.689626,10.211153,9.024519,10.025778,9.088903,9.6079958
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.535208,10.664156,9.224044,10.208214,9.307539,9.9878322
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.269364,11.66113,9.846906,11.139328,10.189658,10.8212772
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.159128,10.342156,9.045029,10.111305,9.123738,9.7562712
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.042939,11.235377,10.338502,11.018512,10.056798,10.7384256
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.020795,10.365997,9.022837,9.637498,8.477253,9.504876
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.035145,10.243178,9.057921,10.020249,9.119915,9.6952816
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.055288,11.341731,9.744724,10.764746,9.87956,10.5572098
