"","sample","tissue","endometriosis","severity","p36475_at","p205164_at","GCAT"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.717276,6.351097,6.0341865
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.444015,6.958257,6.701136
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.568141,4.996581,5.282361
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.541291,6.202014,5.8716525
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.955719,6.061718,6.0087185
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.728495,7.170481,6.449488
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.0269,7.016035,6.5214675
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.721521,6.217821,5.969671
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.643678,7.332352,6.488015
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.123579,7.33288,6.7282295
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.856605,5.720026,5.7883155
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.043324,5.896789,5.4700565
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.677693,6.411607,6.04465
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.495839,6.456177,5.976008
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.675069,6.800154,6.2376115
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.319831,7.157813,6.738822
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.727891,6.392953,6.060422
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.25771,7.016489,6.6370995
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.908947,6.707597,6.308272
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.383231,9.678165,8.530698
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.077577,10.049347,9.063462
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.452385,10.173588,9.3129865
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.702248,8.154671,7.4284595
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.525118,10.421368,9.473243
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.189493,10.384903,9.287198
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.99299,10.925467,9.9592285
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.92875,10.782536,9.855643
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.970295,9.155329,8.062812
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.614755,9.698264,8.6565095
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.204928,10.224795,9.2148615
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.897246,10.897364,9.897305
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.348553,8.905917,8.127235
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.464725,10.158855,9.31179
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.563589,10.49653,9.5300595
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.309066,9.25938,8.284223
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.623561,10.76597,9.6947655
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.195051,10.110403,9.152727
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.675714,9.347559,8.5116365
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.124097,9.80975,8.9669235
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.343257,10.085025,9.214141
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.220738,9.311809,8.2662735
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.761115,8.155356,7.4582355
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46835,9.414053,8.4412015
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.619016,8.248445,7.4337305
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.238034,10.318398,9.278216
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.38035,10.083844,9.232097
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.991123,10.979678,9.9854005
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.761115,8.636519,7.698817
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.133254,10.085899,9.1095765
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.927354,10.793281,9.8603175
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.105358,10.165179,9.1352685
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.46257,11.108017,10.2852935
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.287244,9.9962,9.141722
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.472929,10.105354,8.7891415
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.576924,9.375191,8.4760575
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.87104,8.629335,7.7501875
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.33342,10.266963,9.3001915
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.806222,9.631415,8.7188185
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.250431,8.917768,8.0840995
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.363377,10.435729,9.399553
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.988444,10.08796,9.038202
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.622528,9.557559,8.5900435
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.483664,9.445745,8.4647045
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.960557,7.126068,6.5433125
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.824083,8.683142,7.7536125
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.423894,9.423332,8.423613
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.046368,9.878668,8.962518
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.611021,7.875563,7.243292
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.48418,7.579647,7.0319135
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.334139,7.72574,7.0299395
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.611776,5.933275,5.7725255
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.840362,8.539136,7.689749
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.264449,7.636414,6.9504315
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.284663,7.626519,6.955591
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.528682,7.56638,7.047531
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.652197,8.364198,7.5081975
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.711103,8.27188,7.4914915
