"","sample","tissue","endometriosis","severity","p223192_at","p221432_s_at","SLC25A28"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.822556,6.728361,7.2754585
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.732228,6.579792,7.15601
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.895911,5.838085,6.866998
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.72432,7.341491,8.0329055
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.457048,7.062023,7.2595355
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.52249,7.230945,7.8767175
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.879442,6.534607,7.2070245
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.910654,6.382858,7.146756
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.223809,6.592371,7.40809
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.424096,6.671073,7.5475845
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.168228,6.236111,6.7021695
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.572471,6.236111,6.904291
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.410408,6.592371,8.0013895
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.228559,6.667242,7.4479005
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.467447,7.015079,7.741263
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.287701,7.142538,7.7151195
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.946934,7.451927,8.1994305
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.621598,6.236111,6.9288545
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.116298,6.929647,7.5229725
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.166843,8.309453,9.238148
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.994861,8.34977,9.1723155
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.709292,8.693815,9.2015535
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.701435,7.850463,8.775949
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.391844,9.253126,9.822485
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.836249,8.53391,9.1850795
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.587092,9.300122,9.943607
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.343109,8.606084,9.4745965
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.226554,8.370122,8.798338
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.769678,8.342038,9.055858
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.133127,8.651499,9.392313
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.974182,8.236245,9.1052135
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.416449,8.17799,8.7972195
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.416636,9.176509,9.7965725
