"","sample","tissue","endometriosis","severity","p226876_at","p226905_at","RFLNB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.659364,9.9255,9.292432
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.536341,9.802413,9.169377
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.475576,5.26612,5.870848
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.190807,4.995266,5.0930365
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.931099,8.877276,8.4041875
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.73572,5.927282,5.831501
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.930196,4.468093,5.1991445
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.376059,6.866294,6.6211765
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.033833,10.038996,9.5364145
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.592207,6.379969,5.986088
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.570541,7.15582,6.3631805
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.811449,6.686356,6.7489025
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.168989,5.022722,5.0958555
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.349323,7.789237,7.56928
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.379388,10.518431,9.9489095
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.998671,7.600104,7.2993875
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.565991,6.440111,6.503051
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.906949,6.403429,6.155189
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.688619,6.329054,6.5088365
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.292523,8.513679,8.403101
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.884016,11.305348,10.594682
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.018812,8.879284,8.449048
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.661867,8.968106,9.3149865
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.502433,8.796436,8.1494345
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.708442,9.556382,9.132412
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.758524,11.056975,10.9077495
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.728828,6.780419,7.7546235
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.628316,8.614283,8.1212995
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.455842,10.68575,10.070796
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.774259,9.554491,9.164375
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.595383,7.273114,7.9342485
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.80494,9.045091,8.4250155
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.255331,8.064141,8.659736
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.305265,10.40251,10.3538875
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.961393,10.847666,10.4045295
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.829467,8.476179,8.652823
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.321983,9.02876,9.1753715
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.698938,10.255704,9.477321
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.989819,8.805825,8.897822
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.318025,7.953521,8.135773
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.1052,8.745735,8.9254675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.242,9.749241,8.9956205
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.668754,10.081846,9.8753
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.766839,7.555587,7.161213
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.53594,8.89397,8.714955
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.818951,8.27331,8.5461305
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.006594,8.417622,8.712108
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.937511,9.473852,9.2056815
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.752993,8.48075,8.6168715
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.78446,9.671485,10.2279725
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.0603,9.162252,9.611276
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.791196,8.265428,8.528312
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.161143,8.687793,7.924468
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.287462,8.789273,8.5383675
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.494298,9.124911,8.8096045
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.792798,10.455994,10.124396
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.491184,8.704043,8.5976135
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.162872,8.251207,7.7070395
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.789784,7.880681,6.8352325
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.200038,10.96538,10.082709
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.660179,10.252634,9.9564065
