"","sample","tissue","endometriosis","severity","p201787_at","p202995_s_at","FBLN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.50851,10.509022,11.008766
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.895222,10.409159,10.6521905
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.147538,11.659568,11.903553
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.753873,11.761862,12.2578675
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.152157,12.056857,12.104507
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.962856,11.741269,12.3520625
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.419685,10.727109,11.573397
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.419685,11.994265,12.206975
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.719959,11.375962,11.5479605
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.482318,10.825447,11.6538825
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.626744,10.933335,11.2800395
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.511051,10.581629,11.04634
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.923485,9.961924,10.9427045
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.077769,10.744881,11.411325
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.287202,10.990493,11.1388475
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.216362,11.120029,11.6681955
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.419685,11.628096,12.0238905
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.419685,11.321514,11.8705995
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.302996,11.380649,11.8418225
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.795576,12.358444,13.07701
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.356735,10.542112,11.4494235
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.365506,11.61433,12.489918
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.378624,9.022762,10.700693
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.498969,12.143949,12.821459
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.733069,12.60742,13.1702445
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.180622,11.41979,12.300206
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.021192,10.248366,11.634779
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.996885,11.654836,12.3258605
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.504054,11.122825,11.8134395
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.182557,11.373404,12.2779805
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.010324,9.893114,11.451719
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.126439,11.485959,12.306199
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.901726,10.97199,11.936858
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.359475,11.759171,12.559323
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.01393,10.818481,11.4162055
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.827434,12.274828,13.051131
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.171638,11.670229,12.4209335
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.492421,11.480236,11.9863285
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.651216,10.971841,11.8115285
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.418285,11.503539,12.460912
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.01601,10.244711,11.1303605
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.916424,11.334347,12.1253855
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.030018,10.818469,11.4242435
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.21122,11.987126,13.099173
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.586376,11.895039,12.7407075
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.508383,10.559384,11.5338835
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.731332,10.558956,12.145144
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.948798,10.295011,11.6219045
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.419583,11.857162,12.6383725
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.05011,9.866375,10.9582425
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.794846,11.033857,11.9143515
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.545062,11.712492,12.628777
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.52784,12.039067,12.7834535
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.194847,10.354075,11.774461
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.860636,11.469251,12.1649435
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.519385,9.877862,10.6986235
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.315039,11.588534,12.4517865
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.864316,11.709647,12.7869815
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.71321,11.540076,12.126643
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.419685,10.938229,11.678957
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.529834,10.90905,11.719442
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.331012,11.891513,12.6112625
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.556105,11.755182,12.6556435
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.653795,10.642983,11.648389
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.625064,10.846064,11.235564
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.103435,12.402392,12.7529135
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.018208,11.697357,12.3577825
