"","sample","tissue","endometriosis","severity","p218633_x_at","p222697_s_at","ABHD10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.502253,7.265501,7.383877
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.879473,8.065677,7.972575
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.958964,5.792333,6.3756485
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.926027,6.152497,6.539262
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.436262,7.674776,7.555519
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.444531,6.941691,6.693111
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.20852,3.755756,4.982138
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.096041,6.152497,7.124269
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.090475,6.974588,7.5325315
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.074051,7.068815,7.071433
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.842046,7.834207,7.8381265
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.599062,7.411307,7.5051845
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.914212,4.896251,5.9052315
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.163239,7.689783,7.926511
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.807724,6.230737,7.0192305
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.801081,6.152497,6.476789
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.001024,6.227519,6.6142715
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.808628,6.762542,6.285585
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.623599,6.782941,6.70327
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.08339,5.053515,5.5684525
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.291778,5.053515,6.1726465
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.529248,4.896251,5.7127495
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.848925,4.409737,5.629331
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.837334,5.545171,6.1912525
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.4685,5.052395,5.2604475
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.902652,3.247736,4.575194
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.344601,4.896251,5.620426
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.604526,6.383383,6.9939545
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.051736,5.053515,6.0526255
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.307141,4.897852,5.6024965
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.521277,4.653624,6.0874505
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.222943,5.538509,6.380726
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.920737,4.494529,4.707633
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.709413,4.896251,5.302832
