"","sample","tissue","endometriosis","severity","p209201_x_at","p211919_s_at","p217028_at","CXCR4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.61483,9.520572,12.109048,10.0814833333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.647397,11.171041,12.537253,11.451897
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.14453,6.435812,8.53776,7.03936733333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.420868,9.9969,12.345932,10.5879
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.24896,10.199614,12.073876,10.5074833333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.029051,8.948378,11.137879,9.37176933333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.462939,8.829623,11.343165,9.54524233333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.273247,6.606621,9.384082,7.42131666666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.162106,9.838824,12.057171,10.3527003333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.375289,9.175831,11.450132,9.667084
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.503666,7.118448,9.746153,7.78942233333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.506523,7.980272,10.644127,8.376974
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.033729,10.362193,12.888515,11.0948123333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.15961,6.84137,10.059914,7.68696466666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.502916,9.69887,12.688526,10.630104
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.391509,10.022976,12.401815,10.6054333333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.598772,10.024152,12.697346,10.7734233333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.987775,9.817673,11.863362,10.2229366666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.415544,8.361507,10.782376,8.85314233333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.77193,9.39578,11.743026,9.97024533333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.54586,10.083887,12.278628,10.636125
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.971832,8.502797,10.776463,9.08369733333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.90891,9.314178,12.315062,10.1793833333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.350808,7.338931,9.315472,7.66840366666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.316941,8.977072,10.720601,9.33820466666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.307533,5.820468,8.271659,6.46655333333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.670292,5.473508,8.593236,6.24567866666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.638111,9.165653,11.105418,9.636394
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.319982,7.6891,11.197434,8.73550533333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.284046,6.83633,9.835778,7.65205133333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.015046,7.351761,10.343787,8.23686466666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.043786,7.769987,10.29883,8.37086766666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.448436,6.726905,9.189834,7.45505833333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.039334,6.918455,8.937399,7.298396
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.561422,7.98143,10.636383,8.72641166666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.619691,9.232479,11.553042,9.80173733333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.177411,6.635149,9.916736,7.576432
