"","sample","tissue","endometriosis","severity","p1558142_at","p229036_at","p230779_at","p238468_at","TNRC6B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.719441,5.799303,4.054619,4.298308,5.96791775
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.535703,6.329654,2.471601,3.95551,5.823117
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.628077,6.353435,3.154058,3.793672,5.4823105
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.437879,5.552606,3.655567,4.073127,5.42979475
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.504137,5.585895,4.442622,4.69393,6.056646
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.991183,4.858436,3.400167,3.399885,5.16241775
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.932084,5.788389,2.392103,4.521995,5.15864275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.412484,6.456576,3.655567,3.793672,6.07957475
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.957626,6.211752,3.787701,4.738247,6.1738315
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.846114,4.975641,2.814571,4.524232,5.2901395
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.256418,6.106895,4.29771,4.659224,6.33006175
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.353652,6.171899,4.167706,4.332124,6.25634525
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.07088,5.704563,3.852928,3.793672,5.60551075
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.816774,6.141342,5.239925,4.69393,6.47299275
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.670637,6.353435,6.465736,6.039446,7.1323135
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.847678,5.450057,5.709735,4.791347,6.19970425
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.45813,5.091555,4.76425,4.416429,5.682591
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.167147,4.949862,3.77272,3.979506,5.46730875
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.132306,5.158818,3.852928,4.500149,5.66105025
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.367184,7.114263,7.597481,5.356049,7.35874425
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.798967,7.277551,4.313023,3.727063,6.279151
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.018486,6.841387,5.596661,4.020619,6.36928825
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.405841,8.073369,8.085224,4.680327,7.56119025
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.208534,6.353435,3.655567,2.709161,5.23167425
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.003455,7.223724,5.614928,4.156802,6.49972725
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.2996,7.669965,7.557798,5.277632,7.45124875
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.953668,7.089003,5.172203,2.709161,5.98100875
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.535445,7.176307,6.754741,5.405479,7.217993
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.401464,8.23969,6.509067,4.547601,7.4244555
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.332523,7.711622,4.724785,3.793672,6.3906505
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.621729,7.733216,5.498065,2.709161,6.39054275
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.341341,7.196118,6.694515,4.69393,6.981476
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.974465,7.465687,4.911679,3.668722,6.00513825
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.493236,7.219907,5.557294,2.481807,5.938061
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.631084,7.219907,8.002048,6.238373,7.772853
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.620572,6.471134,7.199861,4.947134,6.80967525
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.896135,8.197839,7.934269,4.69393,7.68054325
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.620843,7.466252,5.547542,4.402626,6.75931575
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.531439,7.823641,7.663211,4.257333,7.568906
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.935303,7.352637,6.956976,4.158234,6.8507875
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.246747,8.122726,7.755414,4.205627,7.5826285
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.663637,6.259095,3.655567,2.408218,5.24662925
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.019038,7.553605,6.406107,3.805095,6.94596125
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.751529,7.56439,6.592316,3.94632,6.96363875
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.65367,6.881571,4.770227,2.972315,5.81944575
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.3646,7.822581,6.537276,4.69393,7.35459675
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.61558,7.086444,4.475162,2.709161,5.72158675
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.396393,7.540003,6.104939,3.149215,6.5476375
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.174586,7.225942,6.732057,4.769382,6.97549175
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.455311,7.423416,6.685817,3.994274,6.8897045
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.095436,7.094296,4.422652,3.3712,5.995896
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.414367,6.311248,5.823653,2.709161,5.81460725
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.676234,7.638034,5.895928,2.672859,6.47076375
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.727419,7.743772,7.887246,6.147131,7.876392
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.096364,7.539745,5.28754,4.492528,6.85404425
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.228795,8.157727,7.670221,5.870418,8.23179025
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.004501,7.370596,6.936703,4.676925,7.24718125
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.99848,6.739246,6.153538,4.590811,6.62051875
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.385868,6.615745,3.604046,2.99281,5.64961725
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.239742,7.188389,4.979666,3.701412,6.27730225
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.843613,7.129143,6.245381,4.318655,6.884198
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.681794,5.962555,2.623423,2.903731,5.04287575
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.773155,7.076155,6.894967,4.791977,7.1340635
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.738302,8.386847,8.588477,6.320788,8.5086035
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.707081,7.922651,7.150792,6.200991,7.74537875
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.75784,8.251782,7.079261,6.070639,7.7898805
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.625954,6.898999,5.616817,3.793672,6.2338605
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.265063,7.156764,7.628045,6.035077,7.52123725
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.971173,7.842536,7.683101,6.138144,7.9087385
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.141118,7.05055,7.962797,6.94759,8.02551375
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.894365,7.934764,8.153223,7.231817,8.30354225
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.891639,7.316559,7.320499,5.227267,7.438991
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.953108,7.330491,7.894991,7.38916,8.1419375
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.498956,7.248425,6.989461,5.82938,7.3915555
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.433617,6.955639,7.799536,6.753197,7.73549725
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.018808,6.215941,6.192495,4.863217,6.57261525
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.497035,7.044127,7.530974,6.200549,7.56817125
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.250568,6.353435,6.425793,5.148718,6.5446285
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.130231,7.219907,7.804852,6.758491,7.72837025
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.369097,7.26219,8.309204,6.566942,7.87685825
