"","sample","tissue","endometriosis","severity","p214448_x_at","p214062_x_at","p228388_at","NFKBIB"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,5.80228,3.125832,4.545948
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.655712,5.135282,3.689327,4.49344033333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.655712,5.708157,3.324597,4.562822
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.788745,5.80228,3.859953,4.81699266666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.741366,5.744917,3.125832,4.53737166666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.806249,5.80228,4.627149,5.07855933333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.865644,5.80228,3.900738,4.85622066666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,4.882534,3.900738,4.497668
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.716734,5.126733,4.086193,4.64322
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.846643,5.80228,3.900738,4.849887
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,5.80228,3.900738,4.80425
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,4.803805,3.572818,4.36211833333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.759167,5.80228,5.308377,5.28994133333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,5.804149,3.125832,4.546571
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.716734,5.483875,3.706188,4.635599
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.716734,5.655986,4.136141,4.836287
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,5.638607,4.299411,4.88258333333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.709732,5.64836,4.558541,4.972211
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.690816,4.973581,3.125832,4.26340966666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.253883,7.016287,5.740125,6.336765
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.249513,6.256627,5.790391,5.76551033333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.173968,6.69604,5.921726,6.26391133333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.225173,8.194688,7.761474,7.72711166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.335583,7.619204,6.410442,7.121743
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.097595,7.183845,6.065535,6.44899166666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.163048,6.955176,5.990416,6.36954666666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.607382,7.670581,6.005585,6.76118266666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.582991,6.774299,5.530985,5.96275833333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.721053,6.834317,6.222824,6.259398
