"","sample","tissue","endometriosis","severity","p225951_s_at","p226830_x_at","LINC01578"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.253282,3.594113,7.9236975
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.68982,3.093833,7.3918265
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.558209,2.442477,7.000343
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.595706,2.97784,7.786773
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.800041,2.236067,7.018054
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.711097,3.687096,8.1990965
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.803476,2.375006,7.089241
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.954931,2.848926,7.4019285
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.124918,3.6452,7.885059
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.456832,3.378016,7.917424
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.070299,2.964204,7.5172515
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.199226,3.361046,7.780136
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.578623,2.960037,7.76933
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.254737,2.499296,6.8770165
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.152314,2.743745,7.4480295
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.190365,4.405537,8.297951
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.100549,2.459046,7.2797975
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.195015,4.473527,8.334271
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.783104,4.079061,7.9310825
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.724101,5.518666,8.6213835
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.487517,4.571144,8.0293305
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.861987,4.96178,8.4118835
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.291019,4.216071,7.753545
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.779241,3.345679,7.06246
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.335838,4.633279,8.4845585
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.775318,5.738508,9.256913
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.120622,3.981078,7.55085
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.939076,3.943424,7.94125
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.865984,3.873581,8.3697825
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.255264,4.738952,8.497108
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.092583,3.284946,7.1887645
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.671974,4.50704,8.589507
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.625301,2.911488,6.7683945
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.059208,4.223976,8.141592
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.969049,4.717792,8.3434205
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.542532,3.957011,7.7497715
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.102064,5.942055,9.0220595
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.128279,4.110644,7.6194615
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.784442,5.599918,8.69218
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.262308,3.515115,7.8887115
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.587142,4.836628,8.211885
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.632636,4.195247,7.9139415
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.333234,6.028172,9.180703
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.705034,5.395171,8.5501025
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.707881,4.44463,8.0762555
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.686048,4.798562,8.242305
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.029529,4.975126,8.5023275
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.432287,5.453924,8.9431055
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.605573,4.99318,8.2993765
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.922602,5.485664,8.704133
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.565211,2.342998,6.9541045
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.174664,4.128169,7.6514165
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.620196,6.321815,9.4710055
