"","sample","tissue","endometriosis","severity","p240344_x_at","p231840_x_at","LYRM7"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.041063,5.680768,7.3609155
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.591934,5.680768,6.636351
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.489231,5.680768,6.5849995
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80379,5.332087,6.5679385
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.045255,5.680768,6.8630115
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.522826,5.332087,6.9274565
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.188847,5.332087,6.260467
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.028949,5.570391,6.79967
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.994122,5.501253,6.7476875
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.974181,5.488191,6.731186
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.908828,5.680506,6.794667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.523973,5.332087,6.42803
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.467901,5.158283,6.813092
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.716088,5.680768,7.198428
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.343647,6.541771,7.942709
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.160561,5.781709,7.471135
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.330988,5.332087,6.8315375
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.422366,5.680506,7.051436
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.118591,5.844927,7.481759
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.249686,5.494082,5.871884
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.824085,6.068812,6.4464485
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.297348,5.680768,5.989058
