"","sample","tissue","endometriosis","severity","p1558426_x_at","p217529_at","p218812_s_at","p231406_at","ORAI2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.789702,4.909589,7.32618,5.971557,6.999257
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.580379,3.892741,6.901838,6.491024,6.4664955
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.122359,5.003969,6.213376,6.139416,6.86978
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.63395,4.995751,7.049919,6.488272,7.041973
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.317292,5.24981,7.334071,6.587568,7.12218525
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.282503,3.830417,7.387608,6.03392,6.633612
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.486491,3.660534,6.347351,5.53777,6.5080365
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.409288,3.677663,7.263873,5.972375,6.58079975
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.560887,4.052686,6.945749,6.260213,6.70488375
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.040935,5.324126,7.581045,6.756438,7.175636
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.186501,3.887139,7.370162,5.469831,6.72840825
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.979645,3.606594,6.838332,6.584463,6.7522585
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.448332,3.639392,6.922929,5.091963,6.525654
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.402863,5.254592,7.012826,6.236788,7.22676725
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.706086,4.327702,7.281296,6.05139,6.8416185
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.765159,5.576467,7.742026,6.530483,7.40353375
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.889724,6.682932,7.374343,6.729002,7.66900025
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.232713,5.019945,6.698822,5.910885,6.96559125
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.41512,4.679669,6.931761,6.056501,7.02076275
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.258318,8.348095,8.044241,8.964158,8.653703
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.438447,8.564311,7.88928,9.580278,8.868079
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.589423,8.555732,8.938348,9.784435,9.2169845
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.837718,8.756667,8.806443,10.040815,9.36041075
