"","sample","tissue","endometriosis","severity","p222573_s_at","p218276_s_at","p234491_s_at","SAV1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.097256,8.143109,8.312468,7.85094433333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.173104,6.809874,7.432282,7.13842
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.363866,6.315574,7.29188,6.99044
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.040635,7.369139,7.427932,7.27923533333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.261179,7.934657,8.152071,7.78263566666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.864014,6.789404,6.871159,6.84152566666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.504269,5.863706,7.116931,6.828302
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.450507,7.842873,7.844793,7.379391
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.266972,7.764144,8.052678,7.694598
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.13186,5.946098,6.63079,6.56958266666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.322944,6.900016,7.790557,7.337839
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.398751,7.591715,8.577556,7.85600733333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.945183,6.305186,7.790557,6.68030866666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.343574,7.554702,7.983367,7.62721433333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.913344,8.381039,8.737983,8.01078866666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.136525,7.330161,8.262443,7.57637633333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.388927,7.665417,8.046862,7.700402
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.026252,6.151402,7.628522,6.935392
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.867242,6.715857,8.491049,7.35804933333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.488974,6.583345,8.065969,7.046096
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.148364,7.322946,8.397524,7.62294466666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.659982,6.3491,7.616293,6.875125
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.804338,5.992638,8.11104,6.63600533333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.49974,5.946685,5.998751,5.81505866666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.96676,5.495839,6.291465,5.91802133333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.54765,5.010891,5.313009,5.29051666666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.530664,6.108017,6.867919,6.16886666666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.92104,7.009184,7.790557,7.24026033333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.602957,6.151402,7.220952,6.32510366666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.939637,5.755259,6.42133,5.70540866666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.863336,5.929278,6.982633,6.25841566666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.227433,6.766649,7.177156,6.723746
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.586678,5.16495,4.754263,5.16863033333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.621534,5.55814,5.849149,5.67627433333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.303981,8.064826,8.92138,8.096729
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.84459,5.929278,7.004759,6.25954233333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.963126,5.952245,8.18808,6.70115033333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.325095,8.137337,8.320482,7.927638
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.977176,6.151402,6.294222,6.14093333333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.229094,5.09056,5.775426,5.36502666666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.336308,6.551667,8.419017,7.10233066666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.297458,6.340301,5.742067,6.12660866666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.939637,6.000206,6.942284,5.960709
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.75958,6.967329,7.790557,6.83915533333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.741215,5.591241,7.148622,6.16035933333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.261403,7.834782,7.799919,7.29870133333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.982332,5.59506,4.754263,5.11055166666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.071673,5.929278,7.748598,6.583183
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.505825,6.151402,7.786519,6.814582
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.963126,5.010891,7.208734,6.060917
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.265136,5.573231,6.822404,5.88692366666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.405636,5.064452,6.372901,5.947663
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.071997,6.412246,7.212304,6.23218233333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.477392,6.587051,7.507825,6.85742266666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.679327,6.921737,7.635494,6.74551933333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.426186,9.522995,9.301122,8.750101
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.628969,7.094841,7.943061,6.888957
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.409818,7.42768,7.790557,7.20935166666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.653711,7.651477,7.726856,7.34401466666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.523658,7.496172,7.687098,7.23564266666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.917685,7.526654,8.035997,7.49344533333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.846061,7.023542,5.915799,6.26180066666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.335171,8.059796,7.790557,7.39517466666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.532714,8.745428,8.477904,7.918682
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.813774,8.692267,9.075266,8.52710233333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.820544,7.679653,7.370225,7.29014066666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.634177,6.247394,7.12811,6.66989366666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.434135,8.501287,9.376731,8.43738433333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.949549,8.859032,9.948355,8.91897866666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.417405,7.903994,9.328585,8.21666133333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.551406,8.759666,9.919945,9.07700566666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.974796,8.925012,9.687549,8.86245233333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.327537,8.655914,9.577198,8.85354966666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.415987,8.244974,9.412208,8.357723
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.039585,8.687492,9.736779,8.82128533333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.576416,8.972825,9.374771,8.64133733333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.825297,8.740984,9.613357,8.726546
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.291351,8.04219,9.652241,8.66192733333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.187326,8.75175,9.691688,8.87692133333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.091254,8.274127,10.100479,8.48862
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.982747,8.661148,9.656211,8.766702
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.895161,8.842272,9.670156,8.80252966666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.057582,6.886458,8.112645,7.35222833333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.280599,8.728521,8.729403,8.24617433333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.047706,7.732757,8.596761,7.792408
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.475881,7.002589,8.01665,7.16504
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.693389,5.929278,7.298335,6.30700066666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.846462,5.929278,6.991659,6.25579966666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.488176,7.432655,7.792268,7.23769966666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.537919,6.61771,7.382621,6.84608333333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.289801,8.548486,8.56192,8.13340233333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.865693,5.929278,8.005043,6.26667133333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.661996,7.152493,8.06514,7.29320966666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.698196,7.233998,7.999261,7.310485
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.862173,6.151402,7.990027,6.66786733333333
