"","sample","tissue","endometriosis","severity","p201646_at","p224983_at","SCARB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.369243,13.005967,11.687605
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.471849,12.296421,11.884135
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.48165,12.699876,11.590763
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.416862,12.036414,10.726638
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.444823,12.787942,12.1163825
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.697968,12.128932,10.91345
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.325744,11.989922,10.657833
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.047816,12.477493,10.7626545
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.844407,12.996779,11.920593
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.039815,12.135261,11.087538
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.397655,12.122607,11.260131
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.870624,11.411819,10.6412215
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.237209,11.622966,9.9300875
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.741963,12.482743,11.112353
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.581455,13.165984,11.8737195
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.668625,12.320412,10.9945185
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.180704,12.350967,10.7658355
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.073572,12.23352,11.153546
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.802503,12.034316,10.9184095
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.770224,10.176319,7.9732715
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.624142,11.365987,8.9950645
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.943516,10.288911,8.1162135
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.391442,10.125591,7.7585165
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.206424,9.81017,7.508297
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.116365,9.184748,6.6505565
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.510613,9.596515,7.553564
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.074673,8.805714,5.9401935
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.526668,10.698091,8.6123795
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.335545,10.410058,7.8728015
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.169487,8.677978,5.9237325
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.678958,8.788044,6.233501
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.226063,9.835437,7.53075
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.169487,8.166955,5.668221
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.095635,9.154181,6.624908
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.079397,12.446048,10.7627225
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.809764,10.558353,8.6840585
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.633435,8.950769,6.792102
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.243619,11.401105,9.322362
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.864751,9.456416,6.6605835
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.500898,9.321362,6.91113
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.429238,10.370649,7.3999435
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.655481,9.607103,7.631292
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.501241,9.519756,6.5104985
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.099713,10.705307,8.40251
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.372177,9.409218,7.3906975
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.212756,10.343369,7.7780625
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.501241,8.383269,5.942255
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.501241,9.789444,6.6453425
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.522754,9.696813,6.6097835
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.095635,9.185118,6.6403765
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.615482,9.769482,7.692482
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.1203,9.714658,7.417479
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.081533,9.718593,7.400063
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.516065,9.963012,7.7395385
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.766048,10.178884,7.472466
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.847998,12.482376,10.165187
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.097813,10.451115,8.274464
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.517868,11.212836,9.365352
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.116888,11.52403,10.320459
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.030588,11.421453,9.2260205
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.191293,11.465634,9.8284635
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.62507,10.98502,9.305045
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.424198,11.358341,9.3912695
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.265241,12.10413,10.1846855
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.901476,12.306821,10.6041485
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.563197,10.874198,8.7186975
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.729365,10.724965,8.727165
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.122659,12.186075,10.654367
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.269792,12.331778,10.800785
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.989484,12.124278,10.556881
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.509823,12.314925,10.912374
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.286573,12.357221,10.821897
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.689237,12.609389,11.149313
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.453762,12.357649,10.9057055
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.103812,12.740135,11.4219735
