"","sample","tissue","endometriosis","severity","p210253_at","p209448_at","p207180_s_at","HTATIP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.580623,6.999345,4.896985,5.15898433333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.784178,6.017017,5.345754
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.339876,6.813151,6.416814,5.189947
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.406622,9.774949,7.884033,7.021868
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.475395,7.17144,5.517564,5.05479966666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.752186,9.44731,8.08886,7.09611866666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.659508,9.42433,7.58456,6.889466
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.477354,7.762412,6.017017,5.41892766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,7.571955,5.077957,4.961993
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.954389,10.01223,7.844699,7.27043933333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.974309,7.355867,5.350981,5.22705233333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.066857,8.276481,6.017017,5.786785
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.312399,8.315461,7.087663,6.571841
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.64328,7.686457,5.27991,5.536549
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.061605,7.317104,5.215133,5.53128066666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.7768,10.001885,7.922116,7.23360033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.284569,9.849296,7.547162,7.227009
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.082666,9.765943,7.013447,6.95401866666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.749967,9.372305,6.062078,6.39478333333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.45061,9.709974,7.176382,7.44565533333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.548031,8.206286,6.017017,6.25711133333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.97959,9.648282,7.319793,7.64922166666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.991226,8.467996,4.696162,6.385128
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.501773,8.961713,6.017017,6.493501
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.24221,8.025236,5.908363,6.39193633333333
