"","sample","tissue","endometriosis","severity","p203105_s_at","p226154_at","DNM1L"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.298685,9.606879,8.452782
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.12557,8.972966,8.549268
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.339728,8.72405,8.031889
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.33703,9.087839,8.2124345
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.474175,9.254459,8.864317
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.035637,9.354673,8.695155
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.981855,7.720807,7.351331
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.625511,9.081856,8.3536835
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.597599,9.089641,8.34362
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.435014,9.154052,8.794533
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.089665,9.26157,8.6756175
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.721012,9.557576,8.639294
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.697368,9.787479,8.7424235
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.783262,9.599421,8.6913415
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.651351,9.358145,8.504748
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.99445,9.160592,8.577521
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.276234,9.115413,8.6958235
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.060776,9.566974,8.813875
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.551134,9.39709,8.974112
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.151504,7.612177,6.8818405
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.54535,8.101889,7.3236195
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.3457,7.745088,7.045394
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.066763,8.196249,7.131506
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.026698,7.565349,6.7960235
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.278031,6.754246,6.0161385
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.255022,5.865691,5.0603565
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.168828,6.511504,5.840166
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.554429,8.32914,7.4417845
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.832163,6.794984,5.8135735
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.255022,5.449315,4.8521685
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.255022,6.356831,5.3059265
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.0389,8.024433,6.5316665
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.255022,5.192126,4.723574
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.729933,6.275993,5.502963
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.623709,9.144736,8.3842225
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.95167,8.157977,7.0548235
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.104197,7.24128,6.1727385
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.383913,8.96568,8.1747965
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.401738,7.575901,5.9888195
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.48996,6.960552,6.225256
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.382526,8.064428,6.723477
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.506279,6.299499,5.902889
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.255022,7.634158,5.94459
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.567126,8.144456,7.355791
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.788466,6.897273,6.3428695
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.93699,8.740726,7.338858
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.567637,5.599147,5.083392
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.951606,7.245754,6.59868
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.910364,7.470357,6.1903605
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.405517,6.709577,5.557547
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.255022,7.066771,5.6608965
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.110035,5.798646,5.4543405
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.184912,7.448276,6.316594
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.761701,7.494801,6.628251
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.511612,8.217523,6.8645675
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.349851,9.343409,8.34663
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.101989,8.242328,7.1721585
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.886072,9.119647,8.5028595
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.344889,9.425763,8.885326
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.819787,8.078795,7.449291
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.478621,8.466527,7.472574
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.035169,8.639881,8.337525
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.765509,9.401955,8.583732
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.216459,9.624307,8.420383
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.199814,9.619019,8.9094165
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.049208,8.172082,7.110645
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.320384,8.704086,8.012235
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.38365,10.085297,9.2344735
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.255091,10.071673,9.163382
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.317228,9.909861,9.1135445
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.524797,9.849915,9.187356
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.032664,9.649159,8.8409115
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.304018,9.779138,9.041578
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.548561,10.006509,9.277535
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.484583,9.986533,9.235558
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.412204,10.056258,9.234231
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.188359,10.122064,9.1552115
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.678372,10.44893,9.563651
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.535305,10.279155,9.40723
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.883709,9.76807,8.8258895
