"","sample","tissue","endometriosis","severity","p204403_x_at","p210529_s_at","p212981_s_at","p212979_s_at","TCAF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.798942,6.3739,10.667737,8.435355,8.8189835
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.017572,7.711838,9.449126,8.109496,8.572008
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.163505,7.547588,9.456792,8.32999,8.62446875
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.951591,5.374269,8.33607,6.627235,7.32229125
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.552992,7.68751,10.629864,9.17253,9.260724
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.993354,5.545423,9.250429,6.94092,7.6825315
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.790128,4.914042,7.463828,5.958419,7.03160425
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.772968,6.127983,10.485551,8.337096,8.6808995
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.532955,7.103552,10.395465,8.369881,8.85046325
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.436131,6.696365,10.161929,7.450076,8.43612525
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.916821,7.010421,11.037277,8.53104,9.12388975
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.817147,6.814521,11.051148,8.371021,9.01345925
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.790598,5.032065,9.96962,8.093035,8.2213295
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.762853,6.987049,10.991409,9.254305,9.248904
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.888407,6.845123,10.87585,9.05858,9.16699
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.929406,5.164622,9.537738,7.621259,8.06325625
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.332639,4.94744,9.452224,7.324219,7.7641305
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.252281,4.376629,9.482685,6.543615,7.4138025
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.041284,6.296967,10.746623,8.061644,8.7866295
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.931792,3.301498,8.063613,6.003907,6.3252025
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.087135,3.577531,9.674761,7.273776,7.15330075
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.856617,3.577531,8.478555,5.724073,6.409194
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.34483,3.577531,8.947459,7.120649,6.99761725
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.039759,3.597842,7.972677,4.802766,5.853261
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.919587,3.577531,7.606076,4.042399,5.78639825
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.065526,3.577531,7.972677,4.625179,6.06022825
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.847233,3.597842,8.146972,4.678754,6.06770025
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.809911,3.758801,9.575074,7.274794,7.104645
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.931792,3.301498,7.972677,4.668365,5.968583
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.800809,3.577531,8.27875,4.288938,5.986507
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.491474,3.577531,7.972677,4.242177,5.82096475
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.755137,3.577531,8.831209,4.680175,6.211013
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.752571,4.053809,7.080825,5.658894,6.13652475
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.12848,3.577531,7.95834,4.678754,5.83577625
