"","sample","tissue","endometriosis","severity","p216262_s_at","p218724_s_at","TGIF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.91814,4.960476,5.439308
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.986454,5.51755,5.752002
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.599983,6.280595,6.940289
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.488509,4.425197,4.956853
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.589476,6.343134,6.466305
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.617413,4.500065,5.058739
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.237502,4.280697,4.7590995
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.925309,5.478493,6.701901
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.81598,5.615041,6.2155105
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.871799,4.750311,5.311055
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.952389,7.172337,7.062363
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.376726,6.976663,7.1766945
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.121876,4.356309,4.2390925
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.203224,7.166763,7.1849935
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.213796,4.909126,5.561461
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.13914,4.898562,5.018851
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.373264,3.751441,4.5623525
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.838091,5.190283,5.514187
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.613425,5.49104,5.5522325
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.777438,7.41925,7.098344
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.109193,6.62635,6.8677715
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.420607,6.421781,6.421194
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.936845,7.382411,7.159628
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.452506,5.47947,6.465988
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.076915,7.444118,7.2605165
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.241001,7.387415,7.314208
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.421423,7.30412,7.3627715
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.340072,8.197981,8.2690265
