"","sample","tissue","endometriosis","severity","p205221_at","p214308_s_at","p214307_at","HGD"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.344815,10.455304,8.867075,9.88906466666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.869016,9.99171,6.32432,8.72834866666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.114206,5.737644,4.629704,5.160518
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.45778,9.296647,5.052518,7.602315
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.429056,7.775995,5.028064,6.74437166666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.9605,9.62434,5.840535,8.14179166666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.100856,8.843057,4.778168,7.24069366666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.384133,7.276128,3.49477,5.71834366666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.872915,9.912997,7.224932,9.00361466666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.641433,9.353911,6.27143,8.422258
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.77569,8.319026,4.763498,6.61940466666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.942087,7.736235,3.516441,5.73158766666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.087516,8.715218,5.56531,7.45601466666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.446007,7.138371,4.28515,5.623176
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.366958,9.449107,7.039194,8.61841966666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.49416,9.59829,6.423849,8.505433
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.756555,9.972921,6.238644,8.65604
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.793651,9.520853,5.386878,7.90046066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.451509,8.460599,4.498583,6.80356366666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.559683,7.896838,5.740583,7.39903466666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.602834,8.94362,8.353197,8.96655033333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.83136,8.032307,5.982278,7.615315
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.918361,4.315131,4.778168,5.00388666666667
