"","sample","tissue","endometriosis","severity","p1556037_s_at","p230135_at","HHIP"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.271389,2.659014,3.4652015
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,3.714328,4.19617
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,3.545186,4.111599
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.564673,2.559439,2.562056
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.317795,6.788556,6.5531755
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.149253,2.456249,3.302751
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.082799,2.559439,2.821119
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,2.378049,3.5280305
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.225076,5.046667,5.1358715
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.012218,2.236067,2.6241425
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.568311,2.236067,2.902189
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.703287,2.559439,3.131363
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.505955,2.256036,2.8809955
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.150063,6.125388,5.6377255
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.182892,5.170592,5.176742
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.380586,2.236067,2.3083265
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.321155,2.245138,2.7831465
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.593058,2.236067,2.4145625
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.801667,2.467688,3.1346775
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.678012,2.559439,3.6187255
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,3.293919,3.9859655
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.79722,2.559439,3.6783295
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,2.559439,3.6187255
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.189887,2.355563,3.272725
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.271527,2.4299,3.3507135
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.365345,3.647966,4.5066555
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.369301,2.559439,3.96437
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.469591,4.238273,4.853932
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,2.420465,3.5492385
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.634032,2.559439,4.5967355
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.669266,2.559439,3.1143525
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.809117,3.503779,4.656448
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.678012,2.559439,3.6187255
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.365864,2.555576,3.96072
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.611296,2.797874,3.204585
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.729866,2.245138,2.987502
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.98011,3.311147,4.6456285
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.39846,2.236067,2.3172635
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.526744,2.559439,4.0430915
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.380586,2.559439,2.4700125
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.479956,2.563285,4.0216205
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.479902,2.995431,4.7376665
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.203936,2.559439,2.8816875
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.638874,2.559439,3.0991565
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.054154,2.343965,3.1990595
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.207939,4.2304,5.2191695
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.180126,2.356438,3.768282
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.375976,2.559439,3.4677075
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.540905,2.236067,2.388486
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.316158,2.559439,2.9377985
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.405608,2.559439,3.9825235
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.838659,2.245138,2.5418985
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.352066,2.844264,4.098165
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.678012,2.305715,3.4918635
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.486469,4.656778,5.5716235
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.087724,6.418217,6.2529705
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.526562,4.700945,5.1137535
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.678012,2.660074,3.669043
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.659013,2.559439,2.609226
