"","sample","tissue","endometriosis","severity","p222872_x_at","p233085_s_at","NABP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.214816,7.427783,7.8212995
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.295372,5.774145,6.5347585
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.453907,4.946065,5.699986
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.418951,9.652591,10.035771
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.580072,6.401024,6.490548
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.508311,10.013504,10.2609075
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.035846,8.836433,8.9361395
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.191022,7.118741,7.1548815
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.294058,7.168492,7.231275
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.910477,10.631785,10.771131
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.968399,6.831443,6.899921
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.610215,7.682024,7.6461195
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.080976,8.922564,9.50177
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.518359,7.598104,7.5582315
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.280869,7.001416,7.6411425
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.819687,10.024214,10.4219505
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.950663,10.292606,10.6216345
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.296152,9.53419,9.915171
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.710995,10.609438,10.6602165
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.050031,8.979116,9.0145735
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.484253,6.006819,5.745536
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.163289,8.99696,9.0801245
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.295372,7.133142,7.214257
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.252086,7.916393,8.0842395
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.126428,7.176576,7.651502
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.956691,5.042437,4.499564
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.721919,4.99017,4.3560445
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.356046,5.621292,5.488669
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.428524,6.322803,6.8756635
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.541058,4.901765,4.7214115
