"","sample","tissue","endometriosis","severity","p1557331_at","p220113_x_at","p233341_s_at","POLR1B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.557022,7.370062,3.596186,5.17442333333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.214483,6.48549,2.961544,4.553839
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,7.801219,3.630268,5.18874033333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,7.376149,3.526537,5.00431733333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,7.083896,4.461686,5.218616
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,6.91205,3.552771,4.86651833333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.167301,8.348231,2.791983,5.102505
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,7.360257,4.349173,5.281388
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,7.550416,4.059761,5.24014766666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,6.830576,3.740709,4.90200633333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.563572,7.900528,5.238338,5.90081266666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.619596,8.237475,4.673282,5.843451
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.17778,8.39147,3.284879,4.95137633333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,7.846093,4.893308,5.62471166666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.194034,7.74458,4.253138,5.39725066666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.417085,7.737746,3.97415,5.04299366666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,7.59202,4.01192,5.23806866666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.538508,8.229438,3.823176,5.530374
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.720857,8.241243,3.838856,5.60031866666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.952393,6.184162,5.249516,5.12869033333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,6.12646,6.039405,5.425377
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.134734,6.014556,4.722711,4.95733366666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,6.982296,5.697455,5.59667233333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.918503,5.138601,5.402412,4.81983866666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.063065,6.076976,4.535486,4.558509
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.16411,6.961373,5.430579,5.185354
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.870865,7.303533,5.454016,5.20947133333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.041348,5.903168,5.680962,5.20849266666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.408955,6.939365,5.011688,5.12000266666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.569249,6.699289,5.978668,5.41573533333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.110266,6.34019,7.676361,6.04227233333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.566454,6.041147,5.643937,5.083846
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.792468,6.424368,5.716988,5.31127466666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.389978,6.369634,4.383267,4.714293
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.428347,5.809562,5.238338,5.158749
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.888582,5.413843,4.893517,4.73198066666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.080831,7.242359,6.372173,5.89845433333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.038847,5.903168,5.145332,5.02911566666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.318094,6.695662,5.623802,5.21251933333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.436014,7.55365,5.965379,5.31834766666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.31791,6.960909,6.994806,6.09120833333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.456522,4.89983,4.659338,4.67189666666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202429,7.036365,3.973353,4.73738233333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.319702,6.304366,5.438757,5.02094166666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,6.263455,4.796191,5.05663733333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.870535,6.693687,6.280882,5.61503466666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,5.955617,5.353107,5.14781933333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.110266,7.045587,5.493084,5.54964566666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.126662,6.699023,3.935656,4.58711366666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.842221,6.918547,6.23248,5.33108266666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.126662,6.623941,5.345617,5.03207333333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.134734,6.430624,5.02966,5.19833933333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.134734,6.238597,5.436522,5.269951
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.122495,7.132384,5.702209,5.65236266666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.126662,5.903168,5.608439,4.879423
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.570544,6.04836,5.238338,5.28574733333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.110266,6.629265,5.619769,5.4531
