"","sample","tissue","endometriosis","severity","p225402_at","p235192_at","TP53RK"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.397995,5.398128,6.3980615
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.858444,5.857366,6.357905
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.858256,6.316612,6.587434
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.737849,5.848654,5.7932515
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.406427,5.587353,6.49689
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.898945,5.565333,6.232139
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.391693,5.938646,6.1651695
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.269633,5.938646,6.1041395
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.836341,5.533465,6.184903
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.314246,5.989887,6.6520665
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.926968,5.938646,6.432807
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.440368,5.977397,6.2088825
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.770868,5.145815,5.4583415
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.710366,5.938646,6.824506
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.976551,5.938646,6.4575985
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.276551,5.938646,6.6075985
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.127209,5.76303,6.4451195
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.067584,6.11603,6.591807
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.798666,5.938646,6.868656
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.922533,5.638616,7.2805745
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.006122,6.122327,7.5642245
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.313881,5.533974,7.4239275
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.609298,5.679382,7.14434
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.71951,6.305145,8.0123275
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.092442,5.051795,7.0721185
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.10441,5.145815,7.6251125
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.387562,5.570156,7.478859
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.641511,5.938646,7.2900785
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.054097,5.938646,7.4963715
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.943083,5.300585,7.621834
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.773815,6.240443,7.507129
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.94487,5.938646,7.441758
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.880314,5.145815,7.5130645
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.55341,5.775146,7.664278
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.913797,6.759456,7.8366265
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.248703,5.550542,7.3996225
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.880684,5.145815,7.0132495
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.604621,6.096562,7.3505915
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.547725,5.425231,7.486478
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.89277,5.328265,7.1105175
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.299763,5.970449,7.635106
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.005575,5.873286,7.9394305
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.290923,5.74601,7.5184665
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.018545,5.145815,6.58218
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.214069,5.298057,7.256063
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.520812,5.581172,7.550992
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.712379,4.509724,7.1110515
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.208064,5.565414,7.386739
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.045887,5.145815,7.095851
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.022024,5.705055,7.8635395
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.91653,5.145815,7.0311725
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.534514,5.574404,7.554459
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.605,5.659594,7.632297
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.726003,5.956105,7.341054
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.302601,5.938646,7.6206235
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.68704,6.08504,7.38604
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.828524,5.584501,7.2065125
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.417933,6.178029,7.297981
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.03486,6.624049,7.8294545
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.878971,6.144696,7.5118335
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.686294,5.962563,7.8244285
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.889741,6.940866,7.9153035
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.809253,6.181307,7.49528
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.093311,5.996086,7.5446985
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.716764,6.754774,7.735769
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.303968,5.312824,6.808396
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.100629,5.939176,7.5199025
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.828249,7.427979,8.128114
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.783336,7.228431,8.0058835
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.467913,6.971163,7.719538
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.496144,7.449984,7.973064
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.838865,6.768754,7.8038095
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.9783,7.206991,7.5926455
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.677285,7.483954,8.0806195
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.915393,6.562434,7.7389135
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.571497,6.785665,7.678581
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.798364,7.764086,8.281225
