"","sample","tissue","endometriosis","severity","p216843_x_at","p214526_x_at","p217485_x_at","p214756_x_at","PMS2P1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.71974,8.689578,9.237866,9.121991,9.19229375
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.202986,9.068706,8.774126,7.769838,8.703914
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.515673,8.299735,8.601487,8.251766,8.16716525
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.472633,7.906194,8.649145,7.894687,8.23066475
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.099509,8.45266,8.675547,8.624794,8.7131275
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.645944,8.448241,8.978993,8.668654,8.685458
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.512382,8.389635,8.231903,8.232158,8.3415195
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.880087,7.902844,7.701788,7.819531,7.8260625
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.88575,8.45266,8.662209,7.970384,8.49275075
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.639906,8.424175,8.646396,8.520518,8.55774875
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.62569,8.45266,8.334289,8.275047,8.4219215
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.412466,8.097087,8.128067,8.01343,8.1627625
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.066044,8.45266,8.732551,8.536856,8.69702775
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.645944,8.290254,8.412738,8.381535,8.43261775
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.645944,8.386442,8.671707,7.931743,8.408959
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.645944,8.360378,8.470936,8.156853,8.40852775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.363991,7.851011,8.433626,8.116085,8.19117825
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.849751,8.45266,9.223516,8.401865,8.731948
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.010824,8.258664,8.948811,8.219503,8.3594505
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.800691,8.556171,8.929351,8.759285,8.7613745
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.100149,8.950284,9.087027,9.221153,9.08965325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.961642,8.817876,8.959116,8.9035,8.9105335
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.078613,7.977058,8.34478,7.951529,8.087995
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.651514,8.884777,9.294005,9.084199,8.97862375
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.732401,8.45266,8.752559,9.084843,8.75561575
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.876477,9.352961,9.552447,9.51551,9.57434875
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.445399,8.192121,8.49365,8.269546,8.350179
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.925531,8.628125,8.753804,8.761613,8.76726825
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.619563,9.451671,9.363005,9.386167,9.4551015
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.248797,8.901305,9.075164,9.175782,9.100262
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.545831,8.662868,8.731796,9.017261,8.739439
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.139703,8.586384,8.770772,8.676619,8.7933695
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.704828,8.728594,9.278794,9.033556,8.936443
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.645944,8.464376,8.658579,8.441284,8.55254575
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.874693,8.645735,8.600792,8.472361,8.64839525
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.823544,8.732703,8.706612,8.886524,8.78734575
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.870264,8.599536,8.84571,8.861859,8.79434225
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.168229,8.996557,8.993678,9.030441,9.04722625
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.026223,8.912265,9.183258,9.026899,9.03716125
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.347669,8.45266,8.494698,8.485985,8.445253
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.560108,8.415633,8.490263,8.456758,8.4806905
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.645944,8.45266,8.958237,8.809316,8.71653925
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.459959,8.45266,8.65194,8.549525,8.528521
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.115685,7.976721,8.086975,8.060277,8.0599145
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.652293,8.586325,8.976867,8.625853,8.7103345
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.835558,8.783694,8.739849,8.892051,8.812788
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.78931,8.479925,8.883388,8.859797,8.753105
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.480033,7.571489,7.656651,7.513973,7.5555365
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.972624,8.845763,8.991767,9.067136,8.9693225
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.051902,8.990976,9.046555,9.243171,9.083151
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.716339,8.618018,8.680097,8.611534,8.656497
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.847534,8.45266,9.113842,9.029363,8.86084975
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.387728,8.386186,8.440179,8.189553,8.3509115
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.42052,9.132681,9.151182,9.17578,9.22004075
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.645218,8.469155,8.592409,8.49194,8.5496805
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.210591,8.8671,8.714256,9.093257,8.971301
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.605573,8.380934,8.680808,8.526423,8.5484345
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.451975,8.367332,8.568567,8.694664,8.5206345
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.645944,8.506342,8.531333,8.464752,8.53709275
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.353621,9.254189,9.28245,9.251383,9.28541075
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.356634,8.954488,9.083847,9.098792,9.12344025
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.645944,9.065113,8.543335,8.628599,8.72074775
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.694563,8.431679,8.558795,8.454967,8.535001
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.401653,8.349494,7.988232,8.405946,8.28633125
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.496378,9.201228,9.179699,9.313176,9.29762025
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.155881,8.699726,9.30212,9.017831,9.0438895
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.764127,8.680966,8.75036,8.833934,8.75734675
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.716139,7.507239,7.433599,7.39143,7.51210175
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.846413,7.700508,7.660982,7.752392,7.74007375
