"","sample","tissue","endometriosis","severity","p209131_s_at","p214544_s_at","p229773_at","SNAP23"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.888851,7.480024,7.976004,7.11495966666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.898933,8.129884,6.245405,7.42474066666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.869293,7.693691,6.17657,5.91318466666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.594953,7.163875,6.667962,6.80893
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.476309,7.841431,6.21086,6.84286666666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.832621,7.654724,6.5283,6.67188166666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.004647,5.668117,5.322279,4.99834766666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.19102,4.760911,5.75627,5.236067
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.299074,7.274176,6.454329,7.009193
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.922777,8.013556,4.56618,6.50083766666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.469504,7.613455,5.405785,6.496248
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.308134,7.065585,6.456481,6.61006666666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.133993,4.652293,6.919327,5.56853766666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.015071,5.742634,6.006355,5.58802
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.013775,6.507812,6.53056,6.01738233333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.56056,6.681254,6.769217,6.33701033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.119058,6.367954,6.958723,5.815245
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.991584,7.562853,5.639853,6.39809666666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.962057,7.274606,6.530894,6.58918566666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.921304,3.840347,7.39615,4.719267
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.600957,4.760911,6.295473,4.552447
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.602848,3.240164,7.026776,4.28992933333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.921304,2.693767,6.129301,3.91479066666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.482289,3.127043,4.809777,3.80636966666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.921304,3.029239,6.990807,4.31378333333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.244551,2.693767,6.428741,3.78901966666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.133956,2.693767,4.38414,3.40395433333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.511934,5.073025,6.390225,4.991728
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.929475,2.782748,7.260246,4.32415633333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.244551,2.782748,6.121776,3.71635833333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.600957,2.782748,5.57427,3.65265833333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.007808,3.103895,6.622085,4.244596
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.976098,2.879677,3.733021,3.19626533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.620133,3.227531,5.588804,3.812156
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.945379,6.264175,6.871811,6.02712166666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.60921,2.907396,6.495183,4.00392966666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.244551,2.782748,6.02137,3.68288966666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.511934,5.05968,6.831527,5.13438033333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.154293,2.782748,5.344927,3.760656
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.600957,3.894263,5.918281,4.13783366666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,2.782748,6.55778,3.858865
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.511934,4.428573,6.130267,4.690258
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.600957,2.782748,4.30408,3.22926166666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.24831,2.693767,6.881136,3.941071
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.154293,2.782748,5.86223,3.93309033333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.600957,2.782748,5.588804,3.657503
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.600957,2.782748,5.588804,3.657503
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.600957,3.012756,7.079381,4.23103133333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.921304,2.889628,7.269234,4.36005533333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.600957,2.782748,6.408638,3.930781
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.600957,2.782748,6.098455,3.82738666666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.240006,4.09332,5.019309,4.117545
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.341772,2.782748,5.601701,3.575407
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.162893,4.232525,7.165318,4.85357866666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.600957,2.693767,5.588804,3.62784266666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.293012,4.55367,5.998791,4.61515766666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.600957,3.471703,6.053868,4.042176
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.528609,4.443822,6.127749,4.70006
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.373567,7.391968,6.829379,6.86497133333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.313801,3.767853,6.643698,4.57511733333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.449724,4.760911,7.288056,5.16623033333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.707803,5.122133,5.320103,4.71667966666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.511934,4.567403,6.822362,4.967233
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.839946,4.917414,5.920299,4.892553
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.538417,6.701759,7.069579,6.436585
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.511934,4.268581,6.669566,4.81669366666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.8251,4.629799,3.131018,3.528639
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.027501,5.903776,3.846364,4.592547
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.470027,6.624733,2.824691,4.97315033333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.837629,6.187633,5.006729,5.343997
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.562869,7.793433,3.733021,6.02977433333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.365689,7.10735,5.457058,6.31003233333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.301282,7.393792,3.37879,5.691288
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.512395,6.92669,4.651442,5.69684233333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.6164,7.470015,3.733021,5.939812
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.422439,6.745182,4.629131,5.59891733333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.532418,6.831356,3.216618,5.193464
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.144385,7.060367,3.733021,5.64592433333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.514995,6.703089,3.544461,5.25418166666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.863625,3.624516,4.394374,3.627505
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.211519,6.187406,3.452567,4.95049733333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.178073,6.383506,3.860963,5.14084733333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.768057,5.381909,5.310328,4.820098
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.662208,5.274731,5.201151,4.71269666666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.356088,4.870277,4.762953,4.32977266666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.511934,3.893362,6.351083,4.58545966666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.624416,2.782748,5.66614,3.69110133333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.154293,4.760911,6.712938,4.87604733333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.818087,4.787279,5.588866,4.39807733333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.154293,3.469017,5.909216,4.17750866666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.078559,4.760911,6.688217,4.84256233333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.485329,2.782748,5.851107,3.70639466666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.928811,3.469017,6.78557,4.394466
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.031304,4.613007,7.40009,5.01480033333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.86978,2.693767,6.979004,4.18085033333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.254854,3.068047,6.747622,4.02350766666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.766295,2.9958,6.885195,4.21576333333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.600957,3.363225,7.24597,4.403384
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.182476,2.782748,7.077947,4.34772366666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.44281,2.782748,6.395496,3.87368466666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.183421,3.469017,6.797643,4.48336033333333
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.138432,4.560793,6.9523,4.88384166666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.244551,2.693767,7.224057,4.054125
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.244551,2.782748,4.916174,3.314491
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.236067,3.295256,6.972636,4.16798633333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.67798,3.537785,7.791684,4.66914966666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.154293,2.727246,6.687612,4.189717
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.592171,2.693767,6.676257,3.98739833333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.344772,2.783279,6.420569,3.84954
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.600957,3.369126,6.341229,4.10377066666667
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.600957,2.818357,4.395306,3.27154
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.154293,4.355263,7.962198,5.15725133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.154293,5.228592,7.685117,5.35600066666667
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.417642,6.959662,6.846643,6.40798233333333
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.711055,7.12821,7.117552,6.65227233333333
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.691344,7.323282,7.397428,6.804018
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.709462,7.402388,6.086067,6.39930566666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.681102,6.891457,5.26909,5.94721633333333
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.225309,6.16167,5.026533,5.13783733333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.68486,4.63878,5.477881,4.600507
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",3.007932,4.705467,7.577294,5.09689766666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.511934,5.423887,7.459614,5.465145
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",3.49685,4.830884,7.183687,5.17047366666667
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.951411,5.099943,7.301542,5.78429866666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.607682,5.607584,6.939451,5.38490566666667
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.059873,5.98204,7.306072,5.78266166666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.969706,5.05152,7.297235,5.439487
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.613774,5.464563,7.328936,5.80242433333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.041734,6.672465,7.366138,6.026779
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.694274,5.201466,7.314432,5.40339066666667
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.184134,5.947231,7.939315,6.02356
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.941213,7.361494,5.256548,6.18641833333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.76587,5.937257,7.062466,5.92186433333333
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.891619,5.674312,7.067751,5.877894
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.045036,5.85877,7.808155,6.23732033333333
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.401107,5.579312,7.158533,5.712984
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.337226,6.160769,7.094439,6.197478
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.132728,4.760911,7.353331,5.41565666666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.318697,6.78767,7.145936,6.41743433333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.291074,5.77601,7.287579,5.78488766666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.210102,5.542629,5.636889,5.12987333333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",2.901228,5.012816,6.134095,4.682713
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.001869,6.467994,8.957052,6.80897166666667
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.04288,5.94888,6.110312,5.36735733333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.362766,5.637545,7.66926,5.889857
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.511934,5.009028,6.139233,4.88673166666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.019722,5.971135,6.088861,5.359906
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.160005,5.432255,6.634301,5.40885366666667
