"","sample","tissue","endometriosis","severity","p224781_s_at","p225751_at","p224780_at","RBM17"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.970982,5.758306,8.50417,8.41115266666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.679424,6.308941,7.816918,8.26842766666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.120256,6.065258,8.080954,8.422156
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.35627,5.856626,8.366944,8.19328
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.803537,6.66666,7.828973,8.43305666666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.647745,6.086441,7.48655,8.07357866666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.416984,5.9402,7.379233,7.912139
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.057465,5.9402,8.107623,8.36842933333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.812257,6.293149,7.981258,8.36222133333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.238005,6.113043,7.084201,7.81174966666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.029832,6.281244,7.448514,8.25319666666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.449375,5.881056,7.793176,8.04120233333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.357837,6.915588,7.678435,8.31728666666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.939157,6.260969,8.400193,8.53343966666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.205067,5.9402,8.630665,8.59197733333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.691791,5.866157,8.167596,8.241848
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.48914,5.924572,7.994039,8.135917
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.669433,5.937865,7.883508,8.163602
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.889384,5.974054,7.268222,8.04388666666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.730802,5.956507,6.698934,7.462081
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.549276,5.418736,6.976145,7.314719
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.959425,5.752141,6.022461,6.91134233333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.75802,7.236264,7.184728,8.05967066666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.007202,5.411491,6.340981,6.91989133333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.608939,5.994116,5.5562,6.71975166666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.739336,5.566575,5.315544,6.20715166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.761619,5.788121,5.885513,6.811751
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.775846,6.894993,7.682246,8.117695
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.592294,6.335641,6.813065,7.247
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.928116,5.393248,6.22306,6.84814133333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.928116,5.576817,7.148671,7.217868
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.114822,6.722759,7.014675,7.61741866666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.003211,5.855045,5.71967,6.52597533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.393736,6.81424,5.406432,6.87146933333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.494032,5.393248,8.188481,8.02525366666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.408695,6.171219,5.933505,7.17113966666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.843381,6.570825,6.744468,7.38622466666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.65599,5.788121,7.691208,7.711773
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.622413,6.483803,6.98326,7.696492
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.622029,5.607296,6.086079,6.77180133333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.105019,7.276971,7.725192,8.36906066666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.213177,5.418736,5.538045,6.72331933333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.807168,6.37741,5.690066,6.95821466666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.777926,5.418736,7.966298,7.72098666666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.923621,5.703181,5.619784,6.748862
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.826132,6.928127,7.758283,8.17084733333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.83246,5.418736,5.933478,6.72822466666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.307536,5.902233,6.023809,7.07785933333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.755753,5.857801,6.292256,6.96860333333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.967403,5.941577,5.884489,6.597823
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.928116,5.859331,6.521598,7.103015
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.998225,5.418736,6.503134,6.973365
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.928116,5.393248,6.428376,6.91658
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.569178,7.030026,7.288047,7.962417
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.261645,5.788121,7.874868,7.974878
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.354661,6.809923,9.122677,8.76242033333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.055543,5.500749,8.17729,7.57786066666667
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.063535,5.891391,7.969528,7.974818
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.315024,5.9402,8.12286,8.126028
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.121734,5.418192,7.381735,7.30722033333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.310674,6.535175,7.374094,7.739981
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.12199,5.788121,8.067467,7.992526
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.171036,6.282575,8.183384,8.21233166666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.869389,7.741893,8.8403,9.15052733333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.694247,5.9402,8.718526,8.450991
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.057853,7.05108,7.682045,7.930326
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.624761,7.276137,8.130128,8.34367533333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.474931,6.699922,8.962911,9.04592133333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.163226,6.305843,8.595156,8.688075
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.598774,6.755784,9.012886,9.12248133333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.561251,6.869053,8.481752,8.97068533333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.977355,5.872136,8.178563,8.34268466666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.716471,7.088397,8.900411,9.235093
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.585022,7.115017,8.629442,9.109827
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.398856,6.223983,8.216801,8.61321333333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.764044,6.025585,8.335222,8.37495033333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.350689,6.542308,8.967761,8.953586
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.97827,7.413809,8.219155,8.87041133333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.312673,6.333415,8.648401,8.76482966666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.57307,6.433511,8.582897,8.529826
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.20186,6.461505,8.621739,8.76170133333333
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.422526,6.646788,8.480559,8.84995766666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.114966,6.226687,7.700114,8.01392233333333
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.922313,5.904554,8.047846,7.95823766666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.378724,6.561101,8.788216,8.57601366666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.140138,5.788121,6.928075,7.28544466666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.932594,6.268837,7.281414,7.49428166666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.266998,5.779025,5.867214,6.971079
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.0791,6.362168,7.908345,8.11653766666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.477467,6.485499,6.809364,7.59077666666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.217399,5.779475,6.877077,7.291317
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.603245,7.921986,7.098936,7.87472233333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.326012,5.601881,6.286334,7.071409
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.31168,6.661362,8.105141,8.35939433333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.064045,5.914347,7.076727,7.35170633333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.067836,5.752141,7.72562,7.84853233333333
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.581273,5.957317,7.422536,7.65370866666667
