"","sample","tissue","endometriosis","severity","p219639_x_at","p232683_s_at","p234710_s_at","PARP6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.970183,8.837987,5.783815,7.863995
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.369593,8.420744,5.364759,7.385032
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.073197,8.269104,4.949481,7.430594
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.130428,8.888379,6.283632,8.100813
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.557449,8.462359,5.442302,7.48737
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.739735,8.941886,5.154487,7.612036
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.780289,7.917078,4.124508,6.940625
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.344057,9.025522,5.663196,8.010925
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.98532,8.838594,5.472098,7.76533733333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.768656,8.401785,4.823114,7.331185
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.510785,8.180412,5.132412,7.27453633333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.719528,8.522852,6.063882,7.768754
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.080352,9.231032,5.582955,7.96477966666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.650774,8.831527,5.21092,7.564407
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.758472,9.080891,5.292132,7.71049833333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.643713,8.565565,5.357788,7.52235533333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.664692,8.553355,4.897115,7.37172066666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.361871,8.404074,4.530538,7.09882766666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.340703,7.824666,4.171492,6.77895366666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.217362,6.690209,3.982977,5.963516
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.988246,7.173254,4.779635,6.647045
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.33916,6.351257,3.93202,5.87414566666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.307176,6.929946,3.982977,6.40669966666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.205592,6.827575,4.208478,6.08054833333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.016755,5.394214,4.092562,5.501177
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.044259,5.638068,3.803248,5.49519166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.484729,5.461635,3.982977,5.64311366666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.791067,7.147496,4.316515,6.41835933333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.566715,6.466285,3.982977,6.00532566666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.147052,6.294314,3.982977,5.80811433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.632607,6.456245,3.982977,6.023943
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.548745,6.117533,3.803248,5.82317533333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.479371,5.562352,3.982977,5.6749
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.773264,5.998571,3.982977,5.91827066666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.513689,7.902565,4.784358,7.06687066666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.403952,6.827075,3.982977,6.07133466666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.331384,5.242705,3.982977,5.519022
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.492614,7.739767,4.731029,6.98780333333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.430152,6.101788,3.803248,5.778396
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.011853,5.190751,3.82975,5.344118
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.329699,6.264463,3.982977,5.85904633333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.96849,7.206077,4.01133,6.395299
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.214259,6.033322,4.04646,5.76468033333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.178555,7.484871,4.052929,6.57211833333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.509798,6.615542,3.982977,6.03610566666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.923484,6.68547,4.097718,6.23555733333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.055368,6.975848,3.803248,6.27815466666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.803674,6.583456,3.851665,6.07959833333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.625889,6.87896,3.735928,6.080259
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.130128,5.537705,3.77522,5.48101766666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.769889,6.197583,3.982977,5.983483
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.55057,6.309384,3.982977,5.94764366666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.985532,7.016184,3.982977,6.328231
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.641744,6.75591,3.803248,6.06696733333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.171228,7.110268,4.272671,6.51805566666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.386412,7.852636,4.530538,6.92319533333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.840705,6.957125,4.530538,6.44278933333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.136416,7.77599,4.799606,6.904004
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.314736,7.76557,4.806659,6.96232166666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.336113,7.596337,4.272671,6.73504033333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.181453,7.640629,4.068431,6.630171
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.090604,7.46956,4.530538,6.69690066666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.118549,7.765778,4.362676,6.749001
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.584972,8.250941,4.530538,7.12215033333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.624413,8.241787,5.188705,7.351635
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.331072,7.962512,4.530538,6.941374
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.270303,7.685592,5.023971,6.99328866666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.233331,7.862168,4.530538,6.87534566666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.286864,7.799821,4.37811,6.82159833333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.322651,9.064042,6.311815,8.232836
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.003723,8.70538,6.498333,8.06914533333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.908235,8.740556,5.679801,7.77619733333333
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.457799,9.305481,6.307728,8.35700266666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.135538,8.872027,5.316639,7.77473466666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.687556,8.383373,5.24485,7.438593
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.913564,8.70276,6.192488,7.93627066666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.859468,7.389904,4.530538,6.59330333333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.79112,7.283784,4.337686,6.47086333333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.229275,7.913079,4.530538,6.890964
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.015377,8.541194,4.530538,7.36236966666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.750126,7.591904,4.33514,6.55905666666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.178555,7.580619,4.681648,6.81360733333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.477482,8.103949,4.799908,7.127113
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.476476,8.295786,5.722507,7.49825633333333
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.178555,7.754709,4.542582,6.825282
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.665178,7.211675,4.272671,6.38317466666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.65236,6.359564,3.803248,5.93839066666667
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.897811,6.958385,4.080671,6.312289
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.038225,6.97929,4.272671,6.430062
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.72878,6.739652,4.272671,6.24703433333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.220803,7.640909,5.211291,7.02433433333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.458747,5.499654,3.908974,5.62245833333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.873088,7.389704,4.056827,6.439873
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.906562,7.017079,4.146936,6.356859
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.660093,6.685982,4.00016,6.11541166666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.969193,7.738004,4.530538,6.74591166666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.776332,6.863578,3.979748,6.20655266666667
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.498098,6.780043,4.272671,6.183604
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.438517,6.386935,4.228556,6.01800266666667
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.282857,5.846939,3.982977,6.037591
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.87386,7.258815,4.272671,6.46844866666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.768709,7.019746,4.387527,6.391994
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.102049,6.945724,3.982977,6.34358333333333
