"","sample","tissue","endometriosis","severity","p204752_x_at","p215773_x_at","PARP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.232725,7.293223,7.262974
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.008098,8.000557,8.0043275
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.087481,7.334899,7.21119
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.035819,6.938287,6.987053
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.53708,8.132856,7.834968
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.232725,7.047895,7.14031
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.503134,6.893452,6.698293
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.992574,7.596622,7.794598
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.65036,7.791735,7.7210475
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.939608,7.172971,7.5562895
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.328478,7.375075,7.3517765
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.241032,7.44214,7.341586
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.939883,6.777851,6.858867
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.735496,8.739692,8.737594
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.024192,7.700561,7.8623765
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.087481,7.047895,7.067688
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.020136,7.047895,7.0340155
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.232725,7.047895,7.14031
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.087481,6.886618,6.9870495
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.513401,5.772073,6.142737
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.297694,7.635698,7.466696
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.597191,6.761442,6.6793165
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.07484,6.156971,6.1159055
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.805926,7.047895,6.9269105
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.618179,5.924535,5.771357
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.498949,5.614786,5.5568675
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.454701,6.267643,6.361172
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.232725,7.176776,7.2047505
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.766507,4.88982,5.3281635
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.405297,6.854373,6.629835
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.472341,6.205624,6.3389825
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.232725,7.172971,7.202848
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.333937,5.987746,5.6608415
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.5027,6.009818,6.256259
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.198504,7.172971,7.1857375
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.588624,5.88214,6.235382
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.896701,5.992054,5.9443775
