"","sample","tissue","endometriosis","severity","p242748_at","p201247_at","p201248_s_at","SREBF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.208173,9.041407,6.773438,7.341006
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.998631,9.442224,7.733931,7.72492866666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.465495,7.047018,5.181416,6.23130966666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.517454,8.572173,6.478075,6.85590066666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.233308,8.263716,7.140359,7.212461
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.50707,8.425554,5.879002,6.93720866666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.142097,7.509529,5.738322,6.463316
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.14293,6.669751,5.309301,5.70732733333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.644378,9.138542,7.232268,7.338396
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.821986,7.240927,5.691653,6.251522
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.142403,7.492208,5.796916,6.14384233333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.0517,7.616962,5.691653,6.120105
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.936627,7.483115,5.925451,7.11506433333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.122445,6.999707,5.691653,5.937935
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.04889,8.902671,6.761337,7.23763266666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.799878,8.393142,5.94245,6.71182333333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.09478,8.375544,6.036281,6.835535
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.007863,8.476836,5.555535,6.34674466666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.31994,7.335541,4.562175,5.73921866666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.557282,8.299277,6.363037,6.73986533333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.4372,9.281983,7.044439,7.25454066666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.652346,8.53195,5.946233,6.71017633333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.548621,7.67269,5.674152,6.631821
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.601238,8.207153,5.979849,6.59608
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.55974,8.694849,6.28073,7.17843966666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.12989,9.354836,6.619131,7.70128566666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.770545,8.506289,6.700174,7.32566933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.462117,8.444785,6.181409,6.69610366666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.283478,8.650143,5.691653,6.87509133333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.77218,7.896772,6.493104,7.05401866666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.428537,8.36268,6.696739,7.162652
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.781032,8.449488,6.643459,6.957993
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.6111,8.730185,6.727421,7.35623533333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.753119,9.10821,6.93406,7.598463
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.708771,8.941532,6.497658,6.715987
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.206395,8.263341,5.796916,6.75555066666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.059981,8.572854,6.268013,6.96694933333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.179091,8.325949,5.990472,6.498504
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.182506,7.806779,6.159488,6.71625766666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.338828,9.18677,6.928489,7.48469566666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.700463,8.063544,5.910946,6.55831766666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.577414,8.730773,6.432759,6.91364866666667
