"","sample","tissue","endometriosis","severity","p203952_at","p217550_at","p231927_at","ATF6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.055944,6.647561,6.678605,6.79403666666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.183386,5.195357,5.986324,6.121689
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.591501,6.669789,5.844544,6.70194466666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.278601,5.860877,6.35073,6.496736
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,6.819257,7.203024,7.13847633333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.166643,6.743371,5.878227,6.59608033333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.170592,6.5069,6.252976,6.64348933333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.996657,6.990965,7.020969,7.00286366666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.033776,7.137685,6.476703,6.88272133333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.459834,5.537606,6.185859,6.394433
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.748276,7.034048,6.872027,7.218117
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.579974,6.014059,6.899026,6.83101966666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.23456,6.343302,5.593906,6.39058933333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,7.746153,6.844433,7.32791133333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.043908,7.778375,6.916767,7.24635
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.204021,7.113195,6.900075,7.07243033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,6.950764,6.591374,6.97842866666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,5.925355,6.656081,6.65819466666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,5.838244,6.692257,6.64121633333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.393148,5.601114,4.89587,5.96337733333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.937741,5.464262,4.469959,5.62398733333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.177328,5.001293,5.70633233333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.331967,6.146506,5.891804,6.79009233333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.237323,4.886538,3.467791,5.19721733333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.395274,3.934434,5.42336133333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.940376,5.811165,2.728674,5.16007166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.940376,5.177328,2.789263,4.968989
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.660223,5.508273,5.470218,6.21290466666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.940376,6.366277,4.920971,6.07587466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.177328,2.728674,4.94879266666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.237718,6.367676,3.33526,5.64688466666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.242976,5.787396,5.486388,6.17225333333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.177328,2.81249,4.97673133333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.177328,4.329211,5.482305
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.393148,5.860546,6.431937,6.561877
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.537063,4.898838,5.79209233333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.598667,5.846058,4.887576,5.77743366666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.454023,4.951412,5.470218,5.958551
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.590044,5.876976,4.428215,5.631745
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.787396,4.597287,5.77501966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.830283,7.200477,5.470218,6.500326
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.701452,3.11484,5.25222266666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.940376,5.880271,2.728674,5.183107
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.002631,6.19679,6.136174,6.44519833333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.940376,5.701452,4.729686,5.79050466666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.393148,5.701452,4.811836,5.968812
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.940376,5.159637,3.219884,5.10663233333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.155189,5.787396,3.84121,5.59459833333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.31652,5.509839,4.37883,5.735063
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,6.332919,4.608251,5.96051533333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.240963,5.177328,2.728674,5.04898833333333
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.073864,5.679078,3.320601,5.35784766666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.940376,5.633022,2.743634,5.10567733333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.402192,5.701452,4.910426,6.00469
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.048554,4.995437,4.1508,5.39826366666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.610066,6.974043,5.490268,6.691459
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.343009,5.177328,3.539894,5.35341033333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.77758,5.285195,5.316272,6.126349
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.841101,5.701452,6.292273,6.61160866666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.193454,5.113957,5.105965,5.80445866666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.393148,5.539035,5.633595,6.18859266666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.877919,5.177328,5.476795,6.17734733333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.678257,5.706034,5.529879,6.30472333333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.360485,6.758722,6.956499,7.35856866666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.53153,5.187135,5.379654,6.032773
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.393148,5.177328,4.901621,5.82403233333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.922395,5.177328,5.448497,6.18274
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.794834,6.426187,7.001266,7.07409566666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.752835,6.337714,7.129595,7.07338133333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.990441,5.701452,7.068186,6.92002633333333
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.450061,6.230659,7.666261,7.44899366666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.705138,7.388351,6.579735,7.224408
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.393148,5.701452,7.104201,6.73293366666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.457515,5.63844,7.362684,7.15287966666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.202112,6.656098,7.348657,7.402289
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.700263,6.926442,6.875134,7.16727966666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.242229,7.300158,7.771641,7.77134266666667
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.153975,6.824402,7.215461,7.397946
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.638217,7.138797,7.353503,7.71017233333333
