"","sample","tissue","endometriosis","severity","p204333_s_at","p204332_s_at","p216064_s_at","AGA"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.171607,7.855809,5.269756,6.43239066666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.421258,8.176678,6.985913,6.861283
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.421221,7.812542,5.641535,6.291766
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.564706,7.465423,5.276459,6.102196
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.620906,7.945233,5.064914,6.54368433333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.589803,7.667109,5.383293,6.546735
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.589625,6.160589,3.581357,4.443857
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.034726,7.872219,5.413982,6.440309
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.015203,8.069132,5.710039,6.59812466666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.154534,8.261305,6.187846,6.867895
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.672425,8.153499,6.208205,7.01137633333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.945548,8.447499,6.630592,7.67454633333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.103902,6.992553,4.197767,5.098074
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.964509,7.676421,4.77541,6.47211333333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.361412,8.068617,5.255458,6.89516233333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.169381,8.315733,6.040984,7.175366
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.300069,7.448889,4.839372,6.19611
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.330009,7.537055,5.252445,6.37316966666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.821691,7.545211,4.822895,6.396599
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.024555,8.105258,4.334516,6.15477633333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.03585,7.580207,4.734723,6.11692666666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.937429,7.968712,4.869669,6.25860333333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.656387,7.245123,2.836206,5.24590533333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.396315,6.721661,3.578575,4.89885033333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.195852,6.589015,3.429585,4.73815066666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.343752,5.710632,2.286801,3.780395
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.841284,6.160589,2.606169,3.86934733333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.09413,8.224107,5.416036,6.91142433333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.157354,6.240592,2.286801,4.56158233333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.287961,6.338161,2.484266,4.37012933333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.039059,6.160589,2.468103,4.22258366666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.824643,7.468397,4.195247,6.16276233333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.980391,5.494118,2.286801,3.58710333333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.652151,6.200451,3.253059,4.36855366666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.552093,8.875837,6.183836,7.53725533333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.782062,7.229804,3.638478,5.21678133333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.314106,6.160589,2.286801,4.253832
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.803993,8.543442,5.334489,6.89397466666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.754934,7.408751,4.005997,5.72322733333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.055143,6.489034,3.129493,4.22455666666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.992427,7.664206,3.641786,6.099473
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.412279,7.547418,4.226369,5.72868866666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.994938,6.668988,3.485789,4.38323833333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.163119,8.352013,4.584198,6.36644333333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.766871,7.25676,4.004633,5.34275466666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.838307,8.309126,4.390209,6.51254733333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.490334,6.715736,3.086977,4.764349
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.711729,7.054918,2.620303,5.12898333333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.740272,8.127554,4.378671,6.08216566666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.414616,6.753358,3.136323,4.43476566666667
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.815698,6.567361,3.482958,4.62200566666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.618086,7.55104,3.805591,4.99157233333333
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.118626,7.18303,3.642432,5.314696
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.673358,7.709852,4.373629,6.25227966666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.227493,7.360836,3.182244,5.590191
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.276458,8.844766,4.860016,6.99374666666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.935963,7.831164,4.488653,6.41859333333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.752241,8.564751,6.046504,7.12116533333333
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.818147,9.125618,7.570549,8.171438
