"","sample","tissue","endometriosis","severity","p203264_s_at","p203263_s_at","ARHGEF9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.776475,3.299854,4.5381645
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.375505,3.262855,4.31918
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.130039,3.969965,4.550002
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.287895,2.809504,3.5486995
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.905633,3.331162,4.6183975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.715214,2.809504,3.762359
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.33953,3.025234,4.182382
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.859218,3.131589,4.4954035
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.883247,3.19592,4.5395835
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.810193,3.299854,4.0550235
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.138363,3.362983,4.750673
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.031242,3.171867,4.6015545
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.33953,2.809504,4.074517
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.33817,3.299854,4.819012
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.252859,3.216476,4.7346675
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.399545,2.970385,4.184965
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.053832,2.68172,3.867776
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.831852,2.809504,3.320678
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.813622,3.216476,4.015049
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.145722,2.676917,3.4113195
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.33953,3.936096,4.637813
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.789021,3.330325,4.059673
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.801686,2.809504,3.805595
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.083181,3.131589,3.607385
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.718606,2.809504,3.764055
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.046664,2.483498,3.765081
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.337968,3.131589,4.2347785
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.833893,3.230671,4.532282
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.198619,2.52954,3.8640795
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.08938,2.998241,4.0438105
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.921947,2.809504,3.8657255
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.915567,2.868334,4.3919505
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.622773,2.809504,3.7161385
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.980765,2.333403,3.657084
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.208943,4.797895,5.003419
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.383987,3.216476,3.8002315
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.294568,3.011667,4.1531175
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.954824,4.052942,5.003883
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.208943,2.362357,3.78565
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.336871,3.016937,3.676904
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.820728,3.131589,4.4761585
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.026075,3.260212,4.1431435
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.473206,2.24158,3.357393
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.519385,2.95273,4.2360575
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.350809,3.131589,3.741199
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.079522,3.216476,4.147999
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.089777,2.590102,3.8399395
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.303691,2.942424,3.6230575
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.091054,2.809504,3.450279
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.849748,2.766275,3.8080115
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.431524,2.809504,3.620514
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.931378,2.874852,3.403115
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.739244,2.24158,3.990412
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.191184,3.267857,4.2295205
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.842041,3.335564,4.5888025
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.392891,3.809138,4.6010145
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.59634,3.131589,4.3639645
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.880673,3.131589,4.006131
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.818808,3.418007,4.1184075
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.849146,4.088034,4.96859
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.865459,3.293007,4.079233
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.33953,3.66119,4.50036
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.216538,3.216622,4.21658
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.986322,3.335227,4.1607745
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.880808,4.478132,5.17947
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.858398,3.299854,4.579126
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.752079,3.230679,4.491379
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.634595,5.147577,5.391086
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.620082,5.727534,6.173808
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.184308,5.816486,6.000397
