"","sample","tissue","endometriosis","severity","p225542_at","p225529_at","ACAP3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,6.243223,6.2896385
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.808996,5.577138,5.193067
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,5.660226,5.99814
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.285238,6.308387,6.2968125
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.584585,6.940296,6.7624405
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,6.241012,6.288533
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.880714,5.660226,5.77047
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,6.551708,6.443881
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.513786,6.259399,5.8865925
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.335483,6.312482,6.3239825
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.351543,5.660226,5.5058845
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.852116,5.886159,5.8691375
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.448188,7.482882,6.965535
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.110106,7.061854,6.58598
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.036786,6.554062,6.295424
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.957828,6.705379,6.3316035
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.321259,6.045953,6.183606
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,6.554062,6.445058
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.170519,5.849848,6.0101835
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.089755,7.876952,7.4833535
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.336054,6.820769,6.5784115
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.213719,8.064688,7.6392035
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.096083,8.262466,8.1792745
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.124065,8.968047,8.546056
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.96689,8.475433,8.2211615
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.542873,9.180681,8.861777
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.631481,8.416463,8.023972
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.105722,7.596919,7.3513205
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.804188,7.736389,7.2702885
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.05733,8.534044,8.295687
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.013935,7.997667,7.505801
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.351249,8.222868,7.7870585
