"","sample","tissue","endometriosis","severity","p201156_s_at","p201140_s_at","RAB5C"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.577189,8.17821,7.3776995
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.566811,9.463207,8.515009
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.66516,9.423322,7.544241
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.238541,8.929877,8.084209
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.34721,8.734672,8.040941
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.828335,9.171647,8.499991
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.401797,9.008049,8.204923
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.297582,9.38644,7.842011
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.495621,8.993926,8.2447735
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.485649,9.583945,9.034797
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.568833,8.901414,8.2351235
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.089105,8.942328,8.0157165
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.735835,7.863977,7.299906
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.041986,9.517774,8.77988
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.523696,8.668768,7.596232
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.811937,9.228206,8.5200715
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.888209,8.711994,8.3001015
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.338619,8.86323,8.6009245
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.214207,9.062529,8.138368
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.72925,11.536333,11.1327915
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.141631,11.124585,10.633108
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.142804,12.114294,11.628549
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.284059,11.557521,10.92079
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.856625,11.870491,11.363558
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.17673,11.595657,11.3861935
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.418695,11.260538,10.8396165
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.115306,11.723022,10.919164
