"","sample","tissue","endometriosis","severity","p201469_s_at","p214853_s_at","SHC1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.687151,9.487246,8.5871985
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.389094,9.651401,9.0202475
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.761477,10.563166,9.1623215
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.706819,10.748862,9.7278405
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.876043,10.064961,9.470502
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.926126,10.763829,9.8449775
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.392725,11.157464,9.7750945
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.980175,10.556711,9.268443
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.361143,10.387269,9.374206
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.913038,11.087353,10.0001955
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.323253,10.31852,9.3208865
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.100163,9.963878,9.0320205
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.82177,11.133287,9.4775285
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.190522,10.984742,9.587632
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.170045,10.377321,9.273683
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.708104,11.087907,9.8980055
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.29863,10.810221,9.5544255
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.760581,10.573373,9.666977
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.008528,11.149836,10.079182
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.970541,11.654142,9.8123415
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.094386,11.195104,9.144745
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.941674,12.177248,10.559461
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.446431,12.035134,10.2407825
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.269541,12.210079,10.73981
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.913166,12.082477,10.4978215
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.315828,11.384764,9.850296
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.761477,11.061928,9.4117025
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.825221,11.367927,9.596574
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.270548,11.397415,9.3339815
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.132672,11.546548,9.83961
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.300159,10.962607,9.131383
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.738619,11.596645,9.667632
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.414997,11.724604,10.0698005
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.514954,11.758962,10.136958
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.26939,10.671961,7.9706755
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.037578,12.234981,10.1362795
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.832808,11.373182,9.602995
