"","sample","tissue","endometriosis","severity","p209299_x_at","p217407_x_at","p214986_x_at","PPIL2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.537103,6.238771,6.564229,6.446701
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.872148,5.954992,6.478555,6.10189833333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.398973,5.356519,5.901955,5.55248233333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.655555,6.366593,6.185006,6.06905133333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.601008,5.444213,6.372609,5.80594333333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.737741,6.175045,6.176183,6.02965633333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.336392,5.617252,5.723566,5.89240333333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.250398,5.814913,5.698589,5.9213
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.829672,5.574858,6.083684,5.82940466666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.305783,6.462964,6.045586,6.27144433333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.751366,5.464355,5.510733,5.57548466666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.37184,5.135093,4.88746,5.13146433333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.108209,5.642485,5.882839,5.87784433333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.831491,5.502181,6.088275,5.80731566666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.168609,5.469799,5.820707,5.819705
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.744804,6.002622,6.062693,5.93670633333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.845755,5.508213,5.769961,5.70797633333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.452869,5.469799,5.393039,5.438569
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.660157,5.668361,6.094421,5.80764633333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.145949,6.8337,7.071781,7.01714333333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.326805,7.214393,7.234692,7.25863
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.036691,7.056792,7.226622,7.10670166666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.059441,7.043509,7.011657,7.03820233333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.800539,7.671782,7.683594,7.71863833333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.737369,7.602801,7.759672,7.69994733333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.150367,8.041218,8.052286,8.08129033333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.335289,7.217193,7.288856,7.280446
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.266394,7.104266,7.34563,7.23876333333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.969532,7.080418,7.449855,7.16660166666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.806106,7.789771,7.986826,7.860901
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.848278,7.752135,8.064341,7.88825133333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.677186,7.311367,7.312421,7.433658
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.035062,7.628648,7.802142,7.82195066666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.669132,7.646223,7.259641,7.52499866666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.671354,6.712167,6.824926,6.736149
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.488493,7.531032,7.591203,7.53690933333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.17057,7.033965,7.252583,7.15237266666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.093474,6.602041,6.756601,6.817372
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.789711,7.152605,6.974341,6.972219
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.2253,6.96452,7.654781,7.28153366666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.19942,6.955533,7.177877,7.11094333333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.389014,7.332472,7.557298,7.42626133333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.552236,7.037433,7.088175,6.89261466666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.16709,6.666854,7.097206,6.97705
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.456875,7.451714,7.731195,7.54659466666667
