"","sample","tissue","endometriosis","severity","p202987_at","p215411_s_at","TRAF3IP2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.121154,8.76854,6.944847
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.808665,8.953579,6.881122
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.927721,8.537614,5.7326675
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.857383,7.963985,5.910684
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.421235,8.615494,6.5183645
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.099498,7.682662,5.89108
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.525247,7.391727,5.958487
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.100401,8.605579,6.85299
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.100401,9.052924,7.0766625
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.857383,7.513668,5.6855255
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.610138,8.716551,6.6633445
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.33406,8.054291,6.1941755
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.898968,7.156713,5.5278405
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.788981,8.618548,6.2037645
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.515528,9.36197,6.938749
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.788981,7.004987,5.396984
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.857383,7.255145,5.556264
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.857383,7.063417,5.4604
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.027888,6.740126,5.384007
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.787913,9.021126,6.9045195
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.940247,10.489525,8.714886
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.326058,9.109878,7.217968
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.791136,8.592798,6.191967
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.7921,9.029106,6.910603
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.052348,9.222472,7.13741
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.423269,8.938997,7.181133
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.078504,9.261746,7.170125
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.043516,10.33383,8.188673
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.078504,8.957578,7.018041
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.054077,10.285742,8.1699095
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.76161,9.300396,7.031003
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.484542,10.069213,7.7768775
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.100401,9.523878,7.3121395
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.006857,9.140808,7.0738325
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.024401,9.037847,7.531124
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.1002,8.941198,7.020699
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.839934,9.894882,7.867408
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.078504,8.770771,6.9246375
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.339891,9.341433,7.340662
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.088889,8.489142,6.2890155
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.078504,9.370833,7.2246685
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.261732,9.170416,6.716074
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.100401,8.951897,7.026149
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.561469,8.872894,6.7171815
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.453257,9.328036,7.3906465
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.786893,8.806653,6.796773
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.078504,10.021904,7.550204
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.100401,9.269493,7.184947
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.100401,8.789572,6.9449865
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.691452,9.446534,7.568993
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.105913,9.867739,7.486826
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.788981,8.238459,6.01372
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.857383,9.484023,6.670703
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.836811,10.62535,8.2310805
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.233738,10.035287,7.6345125
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.499919,9.746713,8.123316
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.3657,9.773802,7.569751
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.233571,8.789238,6.5114045
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.078504,8.593736,6.83612
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.161997,9.520779,7.341388
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.106473,9.575657,7.341065
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.100401,9.025281,7.062841
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.255146,9.022386,7.138766
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.102007,8.430431,6.766219
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.666224,9.928763,8.2974935
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.81346,10.232585,7.5230225
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.857383,9.470245,6.663814
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.842262,8.647761,7.2450115
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.991689,9.394517,8.193103
