"","sample","tissue","endometriosis","severity","p217855_x_at","p221972_s_at","p224472_x_at","p232032_x_at","SDF4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.555932,7.89963,9.519622,11.268355,9.81088475
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.563927,7.823247,9.408942,11.053359,9.71236875
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.521467,7.44356,9.131732,10.620804,9.42939075
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.883841,8.108792,9.636357,10.690108,9.5797745
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.694719,7.925085,9.757276,10.308866,9.6714865
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.566906,8.050804,9.842452,11.121884,9.8955115
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.474137,7.309895,9.001648,10.29883,9.2711275
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.219813,7.912838,9.5992,10.60296,9.58370275
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.390037,7.90468,9.414476,11.212853,9.7305115
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.694719,7.956589,9.477891,10.899259,9.7571145
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.369237,7.59018,9.40937,11.020014,9.59720025
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.102594,7.906132,9.324025,10.824878,9.53940725
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.008193,7.219253,9.066447,10.267526,9.14035475
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.694719,7.719304,9.540386,10.924163,9.719643
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.649634,8.025576,9.449665,11.11094,9.80895375
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.450547,8.127539,9.579704,11.075671,9.80836525
