"","sample","tissue","endometriosis","severity","p1557507_at","p228664_at","TRIM52-AS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.58835,3.197437,3.3928935
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.951045,3.543685,3.747365
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.825698,2.616643,2.7211705
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.8974,3.133467,3.0154335
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.637303,2.823125,3.230214
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.711966,3.690445,3.2012055
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.29505,2.510039,2.9025445
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.263377,3.442253,3.852815
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.65381,3.046255,3.3500325
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.932443,2.510039,3.221241
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.672035,2.510039,3.091037
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.505335,3.197437,3.351386
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.424057,3.197437,3.310747
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.106551,2.859262,3.4829065
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.837237,3.197437,3.517337
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.498188,2.803628,3.150908
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.15946,3.20495,3.182205
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.684448,3.228415,2.9564315
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.471694,2.510039,2.4908665
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.724498,6.163576,5.944037
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.240665,7.208257,6.224461
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.793327,6.449016,5.6211715
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.274073,6.130131,5.702102
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.653343,6.98632,5.8198315
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.213034,7.396293,6.8046635
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.283872,7.762961,8.0234165
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.695279,7.74372,7.7194995
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.830761,6.868991,5.849876
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.712921,6.627711,6.670316
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.960914,7.589065,7.2749895
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.891506,7.826391,7.3589485
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.665284,6.720611,6.1929475
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.269294,7.960277,7.6147855
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.400465,7.114036,6.7572505
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.537684,5.446557,4.9921205
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.047473,6.953824,6.0006485
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.963055,7.717408,7.8402315
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.646942,6.608639,5.6277905
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.048394,7.678234,7.363314
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.388415,7.142563,7.265489
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.538316,7.04531,6.791813
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.351354,7.00086,5.676107
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.489039,7.490807,6.989923
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.447552,6.340696,5.894124
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.508341,6.77437,6.1413555
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.330056,7.950598,7.640327
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.633052,8.081063,7.8570575
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.742055,6.199441,5.970748
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.009566,7.057479,7.0335225
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.093943,8.3609,8.2274215
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.142992,7.552843,7.3479175
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.559622,8.011641,7.2856315
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.498373,7.576186,7.0372795
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.555825,6.471944,6.0138845
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.939905,6.479239,6.209572
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.014201,6.585963,6.300082
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.600789,7.178306,6.8895475
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.187467,5.549836,5.3686515
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.801929,5.456742,4.6293355
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.327845,6.585497,5.956671
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.90715,6.516857,6.2120035
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.23623,6.232675,5.2344525
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.885287,5.456738,5.1710125
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.11571,5.516272,5.815991
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.263377,4.693339,4.478358
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.831329,7.013961,6.422645
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.870304,6.883965,5.8771345
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.454998,3.980387,4.2176925
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.263377,4.351563,4.30747
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.118902,4.193882,4.156392
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.348476,4.327291,3.8378835
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.341696,4.325686,4.333691
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.448202,5.382057,4.9151295
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.152611,4.481574,4.3170925
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.402235,4.905017,4.653626
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.514597,3.677673,4.096135
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.669576,4.909744,4.78966
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.473378,5.455704,4.464541
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.044429,4.908603,4.476516
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.767526,4.704091,4.7358085
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.263377,4.944579,4.603978
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.238091,5.466338,4.8522145
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.118902,6.145958,5.13243
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.83134,5.840989,5.3361645
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.480244,7.046927,6.2635855
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.982675,6.130807,5.556741
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.814653,7.639706,7.2271795
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.830126,6.500592,5.665359
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.192111,6.048603,6.120357
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.592033,6.833191,6.712612
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.179656,6.428938,5.804297
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.544633,8.086326,8.3154795
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.386202,6.55647,5.971336
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.652213,5.551608,5.1019105
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.829185,6.884196,6.8566905
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.531211,5.917602,5.2244065
