"","sample","tissue","endometriosis","severity","p217266_at","p221475_s_at","RPL15"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.051709,13.95327,12.0024895
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.617841,13.987865,11.802853
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.171943,13.86859,12.0202665
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.079432,13.984636,11.532034
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.199461,13.870279,12.03487
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.761361,13.89372,11.8275405
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.789151,13.647926,11.7185385
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.559841,13.91707,11.7384555
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.815647,13.968571,11.892109
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.255901,13.799523,12.027712
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.368618,13.939973,12.1542955
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.22596,13.842267,12.0341135
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.526482,13.63068,11.578581
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.114232,14.097175,12.1057035
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.9851,14.085078,12.035089
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.581383,13.811429,11.696406
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.559841,13.829849,11.694845
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.667188,13.455707,11.5614475
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.517639,13.713568,12.1156035
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.148688,14.033019,11.5908535
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.105202,14.430757,12.2679795
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.824722,14.134721,11.9797215
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.29738,14.036214,11.666797
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.261345,13.991446,11.6263955
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.830699,14.342579,12.086639
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.735457,14.54715,12.6413035
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.742497,14.11507,11.9287835
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.719213,14.149376,11.9342945
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.051856,14.334923,12.1933895
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.304483,14.8216,12.5630415
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.327598,14.544483,12.4360405
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.129082,14.418542,12.273812
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.135638,14.378845,12.2572415
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.314511,14.273652,12.2940815
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.621672,13.989034,11.805353
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.488165,14.143186,12.3156755
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.461091,14.54659,12.5038405
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.192992,14.061392,11.627192
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.500649,14.529062,12.5148555
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.877014,14.061212,11.469113
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.853698,14.5504,12.202049
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.296317,13.783938,11.5401275
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.294609,14.466945,12.380777
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.033347,13.924139,11.478743
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.079343,14.24764,12.1634915
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.940191,14.640746,12.2904685
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.449442,14.491155,12.4702985
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.313162,14.100745,11.7069535
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.516057,13.895199,11.705628
