"","sample","tissue","endometriosis","severity","p55705_at","p221764_at","R3HDM4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.139924,8.816911,8.4784175
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.321817,7.923686,8.1227515
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.614187,7.30322,7.9587035
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.898358,9.72566,9.812009
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.077594,9.41699,9.247292
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.623189,9.931047,9.777118
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.700158,9.584731,9.6424445
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.407529,8.55194,8.4797345
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.373347,8.376936,8.3751415
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.141484,9.743591,9.4425375
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.909872,8.863094,8.886483
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.446685,9.59533,9.0210075
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.633553,9.475326,9.5544395
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.876776,8.472871,8.1748235
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.326943,8.824658,8.5758005
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.368218,9.872199,9.6202085
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.686038,10.182054,9.934046
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.668156,10.087943,9.8780495
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.279394,10.038476,9.658935
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.86398,11.748763,11.3063715
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.899144,10.357157,10.1281505
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.365907,11.515746,10.9408265
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.829184,11.74379,11.286487
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.110086,11.975018,11.542552
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.597749,11.913345,11.255547
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.705734,11.405724,11.055729
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.144931,11.267138,11.2060345
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.159712,11.094242,10.626977
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.733723,11.310067,11.021895
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.392939,10.658513,10.525726
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.003714,11.070647,11.0371805
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.123723,11.268206,10.6959645
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.263497,12.022999,11.643248
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.071662,12.130173,11.6009175
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.837111,9.293843,9.065477
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.413891,11.260411,10.837151
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.172159,10.88364,10.5278995
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.583682,10.081273,9.8324775
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.071157,10.55581,10.3134835
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.391014,12.210831,11.8009225
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.779183,10.286126,10.0326545
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.697167,11.835709,11.266438
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.420915,10.545381,10.483148
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.270233,11.348902,10.8095675
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.724779,11.658238,11.1915085
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.965611,10.248224,10.1069175
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.893463,11.06821,10.9808365
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.21148,12.16355,11.687515
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.543919,11.404405,10.974162
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.976454,11.368369,11.1724115
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.229227,11.878473,11.55385
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.241725,12.12306,11.6823925
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.610755,10.862824,10.7367895
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.578719,11.390787,10.984753
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.699639,10.28054,9.9900895
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.676741,8.626588,8.6516645
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.696733,11.354987,11.02586
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.336684,11.362212,10.849448
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.139861,11.011631,10.575746
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.002139,10.42516,10.2136495
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.304472,11.239766,10.772119
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.815993,10.882649,10.349321
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.084723,11.214052,10.6493875
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.920275,10.644937,10.282606
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.809379,9.695069,9.252224
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.215451,11.162149,10.6888
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.587881,11.312613,10.950247
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.481271,8.101723,8.291497
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.117421,8.459458,8.2884395
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.170502,8.317598,8.24405
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.491208,8.867026,8.679117
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.715298,8.798743,8.7570205
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.150174,8.368295,8.2592345
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.19666,8.23048,8.21357
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.056818,8.524953,8.2908855
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.690242,8.870466,8.780354
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.744056,8.343404,8.04373
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.116515,9.849849,9.483182
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.186192,8.825545,8.5058685
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.977995,9.418153,9.198074
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.376086,8.679866,8.527976
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.320665,8.35386,8.3372625
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.20295,11.000023,10.6014865
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.554626,10.464574,10.0096
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.271266,11.235686,10.753476
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.332751,11.684089,11.00842
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.75899,11.514689,11.1368395
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.595339,11.923301,11.25932
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.957835,10.718381,10.338108
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.324896,11.273458,10.799177
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.055473,11.209028,10.6322505
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.385138,11.116576,10.750857
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.719035,11.881185,11.30011
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.377663,11.019436,10.6985495
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.977784,11.626038,11.301911
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.343984,11.323955,10.8339695
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.156941,10.672553,10.414747
