"","sample","tissue","endometriosis","severity","p223166_x_at","p225377_at","RABL6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.600932,6.257544,6.429238
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.181845,6.792797,6.487321
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.482718,6.851729,6.6672235
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.037324,5.912827,5.9750755
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.747253,7.585449,7.166351
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.37844,7.189604,6.784022
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.267878,6.024943,6.1464105
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.645018,6.051207,6.3481125
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.200124,6.356244,6.278184
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.910603,6.976728,6.4436655
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.529954,6.248359,5.8891565
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.862564,6.681948,6.272256
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.241034,7.097034,6.669034
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.816097,6.771632,6.7938645
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.965701,7.058334,7.0120175
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.409598,6.220259,6.3149285
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.050647,6.6264,6.3385235
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.207356,7.144,6.675678
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.787714,6.171513,6.4796135
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.78636,8.121399,8.4538795
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.766169,7.328513,8.047341
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.577927,7.674123,8.126025
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.22474,8.507333,8.3660365
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.295135,7.434267,8.364701
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.734577,9.029679,8.882128
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.703817,9.810271,9.757044
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.869071,8.023072,8.9460715
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.761367,8.733041,8.747204
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.73669,7.879404,7.808047
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.592784,8.352832,8.972808
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.429747,7.561961,8.495854
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.964714,9.178467,9.0715905
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.876617,9.958498,9.9175575
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.613694,9.90885,9.761272
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.023163,7.969395,7.996279
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.933828,10.234649,9.5842385
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.372092,9.141314,9.256703
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.978907,6.856229,7.417568
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.937902,8.643983,8.7909425
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.322782,8.769895,9.0463385
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.625034,8.442091,8.5335625
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.820497,6.952913,7.886705
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.753409,8.350321,8.051865
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.607729,5.704172,6.6559505
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.708961,8.172486,8.4407235
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.197614,8.743804,8.970709
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.061873,8.431964,9.2469185
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.390524,7.440333,7.9154285
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.811311,8.802025,8.806668
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.659505,9.459374,9.5594395
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.698227,8.546449,9.122338
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.289203,7.545972,8.4175875
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.468927,7.180842,7.8248845
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.123062,9.512399,9.3177305
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.067953,7.675211,8.371582
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.948027,7.231803,7.589915
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.014701,8.339587,8.677144
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.113631,7.180842,7.6472365
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.580965,5.786911,6.683938
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.162497,7.180842,7.6716695
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.978166,8.485294,8.73173
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.169893,5.878199,7.024046
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.195176,7.546009,7.8705925
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.637447,7.180842,7.4091445
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.753409,7.180842,7.4671255
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.301576,8.557856,8.429716
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.857809,8.953541,8.905675
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.819687,7.199192,7.5094395
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.475339,7.499569,7.487454
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.753409,7.850724,7.8020665
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.204187,7.235948,7.2200675
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.363517,7.412246,7.3878815
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.460353,7.457021,7.458687
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.536387,7.517347,7.526867
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.586785,7.423616,7.5052005
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.014325,6.939409,6.976867
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.661052,7.400811,7.5309315
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.937527,7.988862,7.4631945
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.694284,7.515716,7.605
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.033885,9.314229,8.674057
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.652627,7.634416,7.6435215
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.653534,7.613563,7.6335485
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.817556,7.546009,7.6817825
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.753472,7.034558,7.394015
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.644989,7.456502,8.0507455
