"","sample","tissue","endometriosis","severity","p64486_at","p221754_s_at","CORO1B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.670885,7.368599,7.519742
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.46146,8.199405,7.8304325
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.797885,6.403204,5.6005445
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.349886,8.504363,7.9271245
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.229731,7.334985,7.282358
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.556661,7.840702,7.6986815
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.173496,7.864561,7.5190285
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.229731,7.047413,7.138572
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.275973,7.9459,7.6109365
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.345692,7.438253,7.3919725
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.567498,7.0405,6.803999
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.139115,7.139625,7.13937
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.382874,6.613825,6.9983495
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.499916,5.633857,6.0668865
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.35815,7.123577,7.2408635
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.465574,7.318677,7.3921255
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.478669,6.962142,7.2204055
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.223462,7.540814,7.382138
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.653212,7.121236,6.887224
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.363012,9.358705,10.3608585
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.269862,9.317702,10.293782
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.216469,9.234719,10.225594
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.738279,8.656308,9.6972935
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.621741,9.840078,10.7309095
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.309228,9.575109,10.4421685
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.028695,10.715991,11.372343
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.104739,10.676576,11.3906575
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.798753,9.096185,9.947469
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.456768,8.719982,9.588375
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.250551,9.632666,10.4416085
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.73129,9.7057,10.718495
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.266999,8.720407,9.493703
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.838456,10.016138,10.927297
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.77002,9.882766,10.826393
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.400945,7.944944,8.6729445
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.073928,9.309449,10.1916885
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.903724,9.317236,10.11048
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.675178,8.729802,9.70249
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.924073,9.102786,10.0134295
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.730863,10.065175,10.898019
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.483163,8.625899,9.554531
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.101834,9.609132,10.355483
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.808029,8.446934,9.6274815
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.716096,8.677159,9.6966275
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.493729,9.373182,10.4334555
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.746472,9.031803,9.8891375
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.612806,9.800221,10.7065135
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.225072,9.121101,10.1730865
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.623789,9.519097,10.571443
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.063352,10.161476,11.112414
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.556128,9.962859,10.7594935
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.693022,10.303043,10.9980325
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.398724,9.460701,10.4297125
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.22693,9.41201,10.31947
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.776648,8.675062,9.725855
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.91716,8.473719,9.1954395
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.824236,10.282236,11.053236
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.07642,9.430676,10.253548
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.859632,8.276414,9.068023
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.265672,9.248704,10.257188
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.964229,10.48199,11.2231095
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.687607,9.252105,9.969856
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.73959,9.024128,9.881859
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.609352,8.133361,8.8713565
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.311744,8.604449,9.4580965
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.285654,8.070014,9.177834
