"","sample","tissue","endometriosis","severity","p201042_at","p211573_x_at","TGM2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.495558,2.32777,5.411664
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.808141,3.428014,6.1180775
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.922743,2.932253,6.427498
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.570029,4.17523,7.3726295
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.779028,3.918291,6.8486595
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.241618,5.361417,8.3015175
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.089777,3.629552,7.3596645
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.323664,2.871664,6.097664
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.30181,2.871849,6.0868295
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.514464,6.631145,9.0728045
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.55575,3.861376,6.708563
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.054371,2.871664,5.9630175
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.866386,4.629089,7.7477375
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.913048,2.872413,6.3927305
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.835445,2.871849,6.353647
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.628398,6.08691,8.857654
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.370749,4.85907,8.1149095
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.591035,3.750434,7.1707345
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.949554,6.536099,9.2428265
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.03131,2.911679,6.9714945
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.397651,2.610397,6.504024
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.355307,5.541366,8.9483365
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.246998,5.643448,8.945223
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.719351,4.911167,8.815259
