"","sample","tissue","endometriosis","severity","p244519_at","p242438_at","ASXL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.181776,7.421144,5.80146
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.446081,7.023704,5.7348925
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.450424,6.954312,5.202368
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.941549,8.42072,6.1811345
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.276,7.149998,6.212999
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.347077,8.277468,6.3122725
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.320194,7.193271,5.2567325
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.33329,7.741843,5.5375665
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.025942,8.042413,6.0341775
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.865388,7.457817,6.1616025
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.025942,7.701516,5.863729
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.585574,8.42591,6.505742
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.585574,8.895694,6.740634
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.938493,7.748151,5.843322
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.585574,7.584847,6.0852105
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.585574,8.505499,6.5455365
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.585574,8.696899,6.6412365
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.301525,7.800151,6.050838
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.865388,8.004933,6.4351605
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.862503,8.070777,8.46664
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.48906,8.115102,7.802081
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.753933,7.699107,8.22652
