"","sample","tissue","endometriosis","severity","p201305_x_at","p201306_s_at","ANP32B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.326932,12.650408,11.98867
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.627925,13.072407,12.350166
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.574543,12.283861,11.429202
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.959628,12.668113,11.8138705
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.684995,13.086079,12.385537
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.08471,12.555187,11.8199485
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.975358,12.397403,11.6863805
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.474674,13.039949,12.2573115
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.55437,13.04037,12.29737
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.864994,12.226795,11.5458945
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.114015,12.605505,11.85976
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.235136,12.750132,11.992634
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.302295,12.211367,11.756831
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.764783,12.852325,12.308554
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.830589,12.957252,12.3939205
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.229069,12.353632,11.7913505
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.185022,12.523489,11.8542555
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.019369,12.502419,11.760894
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.550807,12.514145,12.032476
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.220335,13.284966,12.7526505
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.227504,13.520572,12.874038
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.107595,13.081309,12.594452
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.542762,11.866296,11.704529
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.613711,13.475346,12.5445285
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.692403,12.951347,12.321875
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.045062,12.374098,11.70958
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.138232,12.586445,11.8623385
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.876013,13.245993,12.561003
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.120372,12.191674,11.656023
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.901588,13.579678,12.740633
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.186078,12.60846,11.897269
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.797392,13.234212,12.515802
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.531385,12.862695,12.19704
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.692103,12.839541,12.265822
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.892052,12.548066,12.220059
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.408761,12.755568,12.5821645
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.363528,13.289508,12.826518
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.652886,13.209515,12.4312005
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.20266,13.374243,12.7884515
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.542762,12.526312,12.034537
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.655198,12.969865,12.3125315
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.160441,12.674712,11.9175765
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.865604,12.824896,12.34525
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.1826,12.819356,12.000978
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.156945,13.306644,12.7317945
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.956679,13.058413,12.507546
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.638354,13.273332,12.455843
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.666822,12.086021,11.3764215
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.787939,12.768825,12.278382
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.776926,12.586165,12.1815455
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.202234,13.26105,12.731642
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.220296,12.413853,11.8170745
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.328426,12.817929,12.0731775
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.076365,13.303493,12.689929
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.057687,13.578092,12.8178895
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.297829,13.325691,12.81176
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.705665,12.705353,12.205509
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.91769,13.05928,12.488485
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.667227,13.122141,12.394684
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.673662,13.143116,12.408389
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.809349,12.85176,12.3305545
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.65426,13.121811,12.3880355
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.028576,13.142278,12.585427
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.473207,12.433904,11.9535555
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.451846,13.635415,13.0436305
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.045674,13.551277,12.7984755
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.742511,13.095672,12.4190915
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.242872,12.882852,12.562862
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.32142,12.84351,12.582465
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.982111,12.449556,12.2158335
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.67787,12.080574,11.879222
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.760027,12.108004,11.9340155
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.235818,12.712235,12.4740265
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.016868,12.642465,12.3296665
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.113129,12.866843,12.489986
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.635781,12.066451,11.851116
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.936648,12.731591,12.3341195
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.264891,12.629348,12.4471195
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.775669,12.580387,12.178028
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.966144,12.420598,12.193371
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.148566,13.125458,12.637012
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.233522,12.877762,12.555642
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.105,13.03946,12.57223
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.987798,12.801128,12.394463
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.917614,12.798683,12.3581485
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.060467,13.039325,12.549896
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.395965,13.471524,12.9337445
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.980363,13.129696,12.5550295
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.075692,13.132949,12.6043205
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.223368,13.305915,12.7646415
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.606693,12.903505,12.255099
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.152005,12.298146,11.7250755
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.912408,12.824532,12.36847
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.973838,13.019206,12.496522
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.249045,12.581197,11.915121
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.478953,12.797172,12.1380625
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.58813,12.931853,12.2599915
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.989795,13.020435,12.505115
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.988703,13.001962,12.4953325
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.167578,13.683755,12.9256665
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.233633,13.295277,12.764455
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.393955,13.578192,12.9860735
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.414877,12.885419,12.150148
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.055528,13.095451,12.5754895
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.929942,12.842506,12.386224
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.78297,12.969902,12.376436
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.434738,13.571511,12.5031245
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.092562,11.904241,11.4984015
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.843149,13.408128,12.6256385
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.951892,12.780041,12.3659665
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.271957,12.39902,11.8354885
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.030555,12.975867,12.503211
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.36716,13.608309,12.9877345
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.725148,12.429943,12.0775455
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.850271,11.951466,11.4008685
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.422741,12.540273,11.981507
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.117323,12.500716,11.8090195
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.83088,12.98751,12.409195
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.280893,12.742102,12.0114975
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.326921,13.113013,12.719967
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.486807,12.099226,11.7930165
