"","sample","tissue","endometriosis","severity","p210852_s_at","p214829_at","AASS"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.461603,7.070262,6.7659325
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.956473,4.983829,4.970151
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.304962,5.226648,5.265805
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.697102,5.644095,5.6705985
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.410972,5.806707,5.6088395
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.491138,5.532934,6.012036
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.026326,5.226648,5.626487
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.256211,5.275587,5.265899
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.914225,5.434086,5.6741555
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.160583,6.481885,6.321234
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.606752,5.32146,5.464106
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.256211,5.434086,5.3451485
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.499139,6.949244,6.2241915
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.372807,4.959451,4.666129
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.029781,5.165958,5.0978695
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.989818,6.866257,6.4280375
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.646694,6.840642,6.243668
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.448774,7.533243,6.9910085
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.665308,7.567946,7.116627
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.649789,4.726336,5.1880625
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.077013,4.297656,4.6873345
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.212697,4.628512,4.9206045
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.306422,5.28287,5.294646
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.256211,4.305132,4.7806715
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.147645,5.226648,5.1871465
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.847417,5.079227,4.963322
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.862398,4.297656,3.580027
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.10684,4.251506,4.679173
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.606752,5.434086,5.520419
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.821683,4.165619,4.493651
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.368302,4.650127,4.0092145
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.127653,4.476829,4.802241
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.674066,3.33502,3.004543
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.528397,4.238879,4.383638
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.431793,6.853682,7.1427375
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.575858,5.434086,5.504972
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.725168,5.434086,5.079627
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.705459,4.983295,5.844377
