"","sample","tissue","endometriosis","severity","p39705_at","p209352_s_at","SIN3B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.144389,8.305041,7.724715
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.216933,6.64103,6.4289815
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.189811,6.613224,5.9015175
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.657446,8.429273,7.5433595
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.875579,8.704371,7.789975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.344854,8.137473,7.2411635
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700309,7.147548,6.9239285
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.525379,7.441509,6.983444
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.005775,7.961071,7.483423
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.388944,7.272269,6.3306065
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.692047,6.613224,6.1526355
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.632008,6.752227,6.1921175
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.810075,8.73247,8.2712725
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.794767,7.949945,7.372356
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.603072,8.01956,7.311316
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.638704,8.154558,7.396631
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.877544,8.25006,7.563802
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.30476,7.483028,6.393894
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.046607,7.629935,6.838271
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.13725,8.889705,8.5134775
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.397287,8.446974,7.9221305
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.376784,8.826282,8.101533
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.134361,9.338689,8.736525
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.733037,9.48096,8.6069985
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.785504,9.382554,8.584029
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.157357,9.216597,8.686977
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.878523,9.275623,8.577073
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.390303,9.819178,9.1047405
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.204246,8.781432,7.992839
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.583832,9.503517,9.0436745
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.456673,9.593183,9.024928
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.604143,9.148007,8.376075
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.196165,9.87345,9.0348075
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.720193,9.429622,8.5749075
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.158382,7.634078,7.39623
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.605481,8.805667,8.205574
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.618311,9.440077,9.029194
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.492859,8.086407,7.789633
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.593964,8.845411,8.2196875
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.469098,9.488851,8.9789745
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.793255,9.384226,9.0887405
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.556838,9.348231,8.4525345
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.912514,8.700518,8.306516
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.69098,9.263313,8.9771465
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.507831,9.196487,8.352159
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.46058,8.579475,8.0200275
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.718874,9.044193,8.3815335
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.229842,8.934619,8.5822305
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.287153,9.26924,8.7781965
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.202176,8.634237,7.9182065
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.319811,9.442286,8.3810485
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.597137,8.584732,8.0909345
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.886161,8.873403,8.379782
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.83455,8.35198,7.593265
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.498982,8.706612,8.102797
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.199922,7.932359,7.5661405
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.367873,9.577982,8.9729275
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.600744,8.836042,8.218393
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.493834,8.012644,7.753239
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.80803,8.581733,8.1948815
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.058418,8.545693,7.8020555
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.981388,8.539773,7.7605805
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.129607,8.539829,7.834718
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.624128,7.852301,7.2382145
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.07133,8.058012,7.564671
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.520503,10.530606,10.0255545
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.072807,9.239331,8.656069
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.788137,7.266246,7.0271915
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.532456,6.613224,6.57284
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.391723,7.862575,7.627149
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.508119,7.232296,6.8702075
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.868372,7.173949,7.0211605
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.467568,8.235228,7.851398
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.149527,7.741232,7.4453795
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.771532,7.073641,6.9225865
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.926417,7.410829,7.168623
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.663314,6.871852,6.767583
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.521524,7.164748,6.843136
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.37924,6.800287,6.5897635
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.120169,7.750673,7.435421
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.649497,6.885916,6.7677065
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.48226,7.194051,6.8381555
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.911956,9.039503,8.4757295
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.911927,8.900501,8.406214
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.310387,8.533194,7.9217905
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.6036,9.175732,8.389666
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.220728,10.462642,9.841685
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.294818,9.197381,8.7460995
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.503155,8.619095,8.061125
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.057081,9.215659,8.63637
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.752473,8.887636,8.3200545
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.648531,8.814395,8.231463
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.818611,9.287418,8.5530145
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.072267,8.851516,8.4618915
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.326118,9.054521,8.6903195
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.674248,8.97125,8.322749
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.814286,8.44335,8.128818
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.28145,9.016171,8.6488105
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.833077,9.833989,9.333533
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.517698,9.067507,8.7926025
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.136099,9.355963,8.746031
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.215399,8.726926,8.4711625
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.03825,8.728497,8.3833735
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.768715,10.091589,9.430152
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.162114,8.880948,8.521531
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.194784,9.496109,8.8454465
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.94313,9.152203,8.5476665
