"","sample","tissue","endometriosis","severity","p244756_at","p238642_at","ANKRD13D"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.712479,5.508392,5.1104355
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.788378,4.967742,4.87806
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.077471,6.03698,5.5572255
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.581271,6.467313,5.524292
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.908647,6.417184,5.1629155
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.976829,5.816048,5.3964385
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.357302,6.765881,5.5615915
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.847652,7.044733,5.9461925
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.016597,6.703455,5.860026
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.546134,5.764027,5.1550805
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.955631,6.561414,5.7585225
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.190238,5.85164,5.520939
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.72021,7.35577,6.03799
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.68546,7.150119,5.9177895
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.908647,6.342111,5.125379
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.21498,6.818135,5.5165575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.2681,6.703455,5.4857775
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.832918,6.073421,5.4531695
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.962842,5.854006,5.408424
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.148459,7.808824,6.9786415
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.807128,7.139387,6.4732575
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.94018,8.510948,7.225564
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.666838,8.989886,7.828362
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.821858,6.672561,6.7472095
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.878847,9.006076,7.9424615
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.645853,9.341753,8.493803
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.952335,8.375348,7.6638415
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.998388,7.823503,6.9109455
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.493478,8.824655,7.6590665
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.329403,9.096044,8.2127235
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.335518,7.568348,6.951933
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.947015,8.32194,7.1344775
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.247429,8.865697,8.056563
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.990888,8.411445,7.7011665
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.908647,6.008092,4.9583695
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.731891,7.777815,6.754853
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.095497,8.888016,7.9917565
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.190238,6.741481,5.9658595
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.796129,8.305348,7.0507385
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.519615,9.377512,8.4485635
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.335825,8.85469,7.5952575
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.615538,7.029653,6.8225955
