"","sample","tissue","endometriosis","severity","p1555997_s_at","p203425_s_at","p203424_s_at","IGFBP5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.362611,4.587587,4.06208833333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.480218,6.630531,5.593791,5.23484666666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.442465,3.82775,3.83542733333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,6.220369,5.500082,5.000271
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.713202,8.110736,5.593791,6.47257633333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.737373,6.341275,4.287485,4.45537766666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,5.853958,5.217313,4.78387766666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,6.07067,3.942711,4.43124766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.895613,6.923025,6.782915,5.86718433333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.981584,5.630448,5.218323,4.61011833333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.947075,5.957428,5.593791,5.166098
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,5.293427,3.866105,4.14663133333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,5.81779,5.775904,4.95801866666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,5.912575,5.593791,4.92890933333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,5.744883,5.593791,4.873012
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.963747,5.549779,4.288359,4.267295
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.731153,3.82775,3.93165666666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,6.445411,5.593791,5.10652133333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.473201,5.955708,5.593791,5.00756666666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.537294,6.322922,10.963505,6.94124033333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.848884,5.935533,10.416716,6.40037766666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.536968,7.012253,10.659381,7.069534
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.050387,8.283575,5.19000966666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.921208,8.658509,10.411982,7.66389966666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.674128,8.754933,12.322867,8.583976
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.558638,8.283082,12.431496,8.091072
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,9.44945,13.078801,8.602871
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.28227,8.888659,12.390638,8.187189
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822878,7.84495,11.76797,7.81193266666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.658768,6.437373,9.952577,6.34957266666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,5.758666,10.472802,6.155845
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.284276,8.082799,5.53438066666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.280362,8.623833,12.463691,8.12262866666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.77346,7.580287,10.386415,6.91338733333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,4.407959,9.729836,5.80605233333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.280362,5.598446,10.60737,6.49539266666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.90642,7.955712,12.999981,8.287371
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.280362,6.338529,11.502984,7.040625
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.955231,8.084717,13.471292,8.83708
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.456438,8.432066,11.764102,7.884202
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.659344,7.315454,12.710413,8.22840366666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.797098,9.299748,10.645554,8.24746666666667
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.220636,8.46178,13.454041,9.378819
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.775435,8.076598,11.425947,8.42599333333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,7.786853,11.310961,7.459392
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.280362,7.034416,12.790553,7.701777
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.750442,9.674475,6.220328
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.524483,10.053107,6.271219
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.951924,7.528239,12.210988,7.89705033333333
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,7.054786,11.598339,6.963064
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.25581,8.174041,12.275548,7.90179966666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,7.500845,11.590272,7.45715966666667
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.657944,7.65288,12.107161,8.13932833333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,4.767568,10.056469,5.68670133333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.13287,7.748174,13.012465,8.29783633333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.632397,6.123574,12.393188,7.383053
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.542135,10.231227,13.655435,9.809599
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.493764,6.644787,10.925967,7.021506
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.280362,5.753985,10.215818,6.41672166666667
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.276528,6.428137,10.936623,6.88042933333333
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.280362,6.790628,11.19181,7.0876
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.117674,6.100912,9.216533,6.14503966666667
