"","sample","tissue","endometriosis","severity","p222673_x_at","p225361_x_at","FAM122B"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.502988,9.106587,9.3047875
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.544381,8.373136,8.4587585
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.503917,7.219956,7.3619365
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.17667,8.502749,8.3397095
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.080771,8.682476,8.8816235
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.355261,7.980534,8.1678975
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.065759,6.506917,6.786338
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.386227,8.341212,8.3637195
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.884798,8.668371,8.7765845
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.426901,8.238677,8.332789
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.983182,8.687442,8.835312
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.911221,8.330357,8.620789
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.243967,7.994526,8.1192465
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.666393,9.76159,9.7139915
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.917775,8.945685,8.93173
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.974431,8.400934,8.6876825
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.207456,8.894426,9.050941
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.690348,8.338654,8.514501
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.667284,8.401689,8.5344865
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.285845,6.910039,7.097942
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.159574,7.819631,7.9896025
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.001054,7.4312,7.716127
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.268897,7.949845,8.109371
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.628617,6.497078,6.5628475
