"","sample","tissue","endometriosis","severity","p206359_at","p227697_at","SOCS3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.144639,7.154451,6.649545
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.328796,8.893988,8.111392
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.181677,8.898211,8.039944
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.078725,10.122425,9.100575
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.277081,4.495276,4.3861785
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.713411,10.10564,8.9095255
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.141711,9.941945,9.041828
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.617879,9.753974,8.6859265
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.877049,5.54585,5.2114495
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.128741,12.575169,11.351955
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.500037,6.155965,5.828001
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.128762,11.109258,9.61901
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.270088,11.64485,10.457469
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.621333,6.682968,5.6521505
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.223173,4.078005,4.150589
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.036331,9.999466,8.5178985
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.400601,10.346751,8.873676
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.665005,10.988518,9.3267615
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.102546,9.980019,8.5412825
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.066502,11.972192,10.519347
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.831544,10.666856,9.2492
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.388636,12.237277,10.8129565
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.347686,13.544102,11.945894
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.320537,12.627579,11.474058
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.140402,11.532875,10.3366385
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.33121,8.676533,8.0038715
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.400601,10.055176,8.7278885
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.676519,9.845267,8.760893
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.526442,11.046625,9.7865335
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.445094,10.654022,9.049558
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.118123,11.810644,10.4643835
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.340291,12.088354,10.7143225
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.138272,10.239194,9.188733
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.089786,10.204381,9.1470835
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.912136,8.021152,6.966644
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.761379,12.478511,11.119945
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.195523,10.104504,8.6500135
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.551651,10.312428,8.9320395
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.176737,9.563752,8.3702445
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.285568,11.857119,10.5713435
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.458615,12.952864,11.2057395
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.728332,13.796345,12.2623385
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.984166,14.558326,12.771246
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.4772,13.86713,12.672165
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.643735,14.178271,12.911003
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.333368,10.362208,8.847788
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.368966,11.126191,9.7475785
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.901434,14.231841,13.0666375
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.707647,10.362588,9.0351175
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.133575,9.06267,8.0981225
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.326507,12.517197,10.921852
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.604567,12.313553,10.95906
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.875366,10.567693,9.2215295
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.849317,8.061988,7.4556525
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.651731,9.308098,7.9799145
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.616735,6.165486,5.8911105
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.181677,9.647341,8.414509
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.159061,11.103612,9.6313365
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.400601,10.898852,9.1497265
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507172,8.659525,7.5833485
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.068715,9.021642,8.0451785
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.780892,10.754187,9.2675395
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.719899,10.458541,9.08922
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.950495,10.616439,9.283467
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.127387,7.827451,6.977419
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.927834,8.512933,7.7203835
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.634756,8.897749,7.7662525
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.61698,7.725878,6.671429
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.525666,6.74912,5.637393
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.733185,6.688276,5.7107305
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.616361,10.928974,9.2726675
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.541687,7.40912,6.4754035
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.412063,5.825339,5.118701
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.291013,7.013447,6.15223
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.489232,4.390039,4.4396355
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.421557,8.864841,7.643199
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.088793,6.288608,5.6887005
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.791292,10.923281,9.3572865
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.820286,9.33819,8.079238
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.710364,7.604582,6.157473
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.398975,6.949194,6.1740845
