"","sample","tissue","endometriosis","severity","p226644_at","p228261_at","MIB2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.774065,5.253232,5.5136485
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.146852,3.469524,4.308188
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.513301,3.617154,4.5652275
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.80619,5.746165,5.2761775
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.170928,4.901095,5.0360115
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.970031,5.30657,5.1383005
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.235145,2.913116,3.5741305
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.674052,5.031916,4.852984
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.034288,4.884869,4.9595785
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.334817,4.514724,4.9247705
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.180106,4.171753,4.6759295
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.659825,4.486848,4.5733365
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.659825,5.309788,4.9848065
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.300832,5.231628,5.26623
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.204748,4.927701,5.0662245
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.664141,4.903318,4.7837295
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.777374,4.836262,4.806818
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.300832,4.514724,4.907778
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.478749,4.183041,4.330895
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.516548,7.250453,7.3835005
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.764382,7.1874,7.975891
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.126592,7.282722,7.704657
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.606913,7.364329,6.985621
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.652165,7.830406,7.7412855
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.415638,7.731077,8.0733575
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.227851,8.810869,9.01936
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.538933,8.506424,8.5226785
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.360874,7.297065,7.8289695
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.143157,7.517836,7.8304965
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.117055,8.278064,8.6975595
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.803304,8.29089,8.547097
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.491784,7.581757,8.0367705
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.467692,9.141481,9.3045865
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.191037,8.968537,9.079787
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.831164,5.742169,6.2866665
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.822928,7.194224,8.008576
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.538131,8.090512,8.8143215
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.702886,6.124992,6.913939
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.696496,7.070058,7.883277
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.227411,8.328579,8.277995
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.071466,6.649603,7.3605345
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.253799,8.63111,8.9424545
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.052127,5.898456,6.9752915
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.704929,6.99205,6.8484895
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.31737,7.473506,7.895438
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.325993,7.330308,7.8281505
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.676382,8.119512,8.897947
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.764884,7.419416,7.59215
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.234512,7.546464,7.890488
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.78514,7.95658,8.37086
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.056764,8.005938,8.031351
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.063249,8.422307,8.742778
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.325736,7.605225,8.4654805
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.761373,6.795236,7.7783045
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.583806,7.329648,7.956727
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.408378,5.958704,6.683541
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.488501,7.61927,8.0538855
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.81035,6.457525,7.1339375
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.298928,5.706497,6.0027125
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.151388,7.150587,7.6509875
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.739453,7.283629,7.511541
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.97179,6.484497,6.7281435
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.094486,6.024704,6.559595
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.315048,5.474126,6.394587
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.833982,5.797352,6.815667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.368572,7.918941,8.1437565
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.987726,7.54484,8.266283
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.132893,4.514724,5.3238085
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.890664,4.514724,5.702694
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.598269,5.871965,6.235117
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.501998,4.853003,5.6775005
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.890278,5.109541,5.9999095
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.102499,5.988073,6.545286
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.420213,5.237172,5.8286925
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.192183,4.917077,5.55463
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.088614,4.901003,5.4948085
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.954652,5.06059,6.007621
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.829029,4.460335,5.144682
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.531956,4.721486,5.626721
