"","sample","tissue","endometriosis","severity","p1554501_at","p208104_s_at","TSC22D4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.569208,5.321283,5.4452455
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.983451,5.467887,5.725669
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.01021,5.377483,5.6938465
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.979659,5.853217,6.416438
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.58927,5.377483,5.9833765
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.800781,5.377483,5.589132
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.973805,5.26873,5.6212675
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.506883,5.325416,5.9161495
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.737626,5.037048,5.887337
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.774642,5.05069,5.412666
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.587869,5.037048,5.3124585
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.930182,5.037048,5.483615
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.972157,5.377483,6.17482
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.344351,5.289258,5.8168045
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.516935,5.037048,5.7769915
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.088506,5.377483,5.7329945
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.041296,5.08653,6.063913
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.401753,4.938611,5.170182
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.670335,5.031566,5.8509505
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.366692,6.06387,7.215281
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.148634,5.377483,6.2630585
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.236376,6.575187,7.4057815
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.513386,7.181666,7.847526
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.679668,7.396774,7.538221
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.582618,6.945748,7.764183
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.616944,6.873303,8.2451235
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.278969,6.936707,8.107838
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.944477,5.971536,6.4580065
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.543784,5.918215,7.2309995
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.995077,6.367285,7.681181
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.279107,6.319026,7.2990665
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.050647,5.864005,6.457326
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.248569,7.593287,8.420928
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.673625,7.263303,7.968464
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.788276,5.507268,5.647772
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.945437,6.315835,7.130636
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.185879,6.227121,7.7065
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.396237,5.037048,5.7166425
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.459891,5.578562,7.0192265
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.373874,7.249429,8.3116515
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.995763,6.006095,7.500929
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.776979,7.163552,7.4702655
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.032424,5.377483,6.7049535
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.659895,5.810691,6.735293
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.974119,6.863752,7.4189355
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.135196,5.799569,6.9673825
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.526734,6.693483,7.6101085
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.31924,6.607332,7.463286
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.951159,6.11882,7.0349895
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.428677,6.60754,8.0181085
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.513341,6.712569,7.612955
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.574077,6.909385,7.741731
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.723734,6.173933,7.4488335
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.288857,6.191941,7.240399
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.827665,5.836281,6.831973
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.35169,4.211387,5.2815385
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.487535,6.540637,7.514086
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.955394,5.756022,6.355708
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.382368,5.036398,5.709383
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.432274,5.377483,6.4048785
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.36491,5.920878,7.142894
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.142386,6.362703,6.2525445
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.073168,5.785075,6.4291215
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.183739,5.027582,6.1056605
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.283616,5.093831,5.6887235
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.003901,6.057561,7.030731
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.772789,5.659242,6.2160155
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.395271,4.632602,4.5139365
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.720676,4.938611,4.3296435
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.459689,4.624167,5.041928
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.961013,5.037048,4.9990305
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.533049,4.777041,5.155045
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.757073,4.503449,5.130261
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.746271,4.757866,4.7520685
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.164962,4.682319,4.4236405
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.846411,4.646321,4.246366
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.129218,4.67903,4.404124
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.127187,4.879909,4.003548
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",2.559123,4.940845,3.749984
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.213126,5.230707,5.2219165
