"","sample","tissue","endometriosis","severity","p206555_s_at","p213025_at","THUMPD1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.592542,11.407502,11.500022
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.595086,10.300552,10.947819
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.130502,8.248711,9.1896065
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.365721,9.848294,10.1070075
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.735102,10.908247,11.3216745
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.486803,9.890704,10.1887535
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.221017,8.733703,8.97736
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.126244,9.465168,9.795706
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.630978,11.431288,11.531133
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.300197,9.59341,9.9468035
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.924528,9.539303,9.7319155
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.907818,9.687063,9.7974405
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.282744,9.562187,9.9224655
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.258833,9.563204,9.9110185
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.309965,11.501556,11.9057605
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.619718,9.756932,10.188325
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.34205,9.634732,9.988391
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.129661,10.391354,10.7605075
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.38347,9.819845,10.1016575
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.14353,7.744398,8.443964
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.457894,9.564426,10.01116
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.802427,7.783131,8.292779
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.572931,7.523745,8.048338
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.936917,7.658543,7.79773
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.706978,7.099971,7.4034745
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.757554,8.992629,8.8750915
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.536806,6.682243,6.6095245
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.5435,8.205407,8.8744535
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.833041,8.94232,8.8876805
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.23347,7.347151,7.2903105
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.610851,8.137341,7.874096
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.67227,7.636053,8.1541615
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.563064,5.533593,6.0483285
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.872336,7.37542,7.623878
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.54625,10.752574,11.149412
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.374644,8.612525,8.9935845
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.684926,8.049248,8.367087
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.278506,9.359418,9.818962
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.953874,7.987303,8.4705885
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.926515,7.657539,7.792027
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.427385,8.82492,9.1261525
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.745348,6.594958,6.170153
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.155017,7.678373,7.916695
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.154503,8.932721,9.043612
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.857568,7.107386,7.482477
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.256765,8.254702,8.7557335
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.687745,5.685238,6.1864915
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.768767,7.92286,7.8458135
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.869436,7.881534,8.375485
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.021555,8.111351,8.566453
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.112502,8.441696,8.777099
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.105819,6.978159,7.041989
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.068987,8.366368,8.2176775
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.310181,7.935172,8.6226765
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.375995,8.517679,8.446837
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.222159,10.950463,11.586311
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.61358,9.214405,9.4139925
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.227331,9.065681,9.646506
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.89352,9.3631,9.62831
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.5639,9.791994,10.177947
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.733617,9.81349,10.2735535
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.141292,8.943368,9.04233
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.236412,9.191696,9.714054
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.068802,8.757665,9.4132335
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.731381,10.757071,11.244226
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.917746,7.905908,8.411827
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.320491,8.378255,8.849373
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.661749,9.813341,10.237545
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.584741,10.570256,11.0774985
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.014083,10.038946,10.5265145
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.820341,10.157975,10.489158
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.088966,11.330663,11.7098145
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.802627,10.881878,11.3422525
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.909737,9.986672,10.4482045
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.290176,11.284103,11.7871395
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.222632,10.421274,10.821953
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.540209,9.907712,10.2239605
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.894769,9.949106,10.4219375
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.035284,9.978544,10.506914
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.272557,10.270818,10.7716875
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.918916,9.876382,10.397649
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.887063,10.076289,10.481676
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.495461,8.552732,9.0240965
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.060774,9.973117,10.5169455
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.293256,9.388926,9.841091
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.139842,8.093586,8.616714
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.655591,7.909041,8.282316
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.931893,8.163349,8.547621
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.155301,8.763233,8.959267
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.268508,7.690598,7.979553
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.271459,8.913853,9.592656
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.1107,8.240832,8.175766
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.473743,7.341601,7.407672
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.893999,8.841083,9.367541
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.414606,8.263717,8.8391615
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.699408,8.017036,8.358222
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.670474,8.445425,9.0579495
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.911156,8.201071,9.0561135
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.841474,8.941528,9.391501
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.134884,8.6275,9.381192
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.718368,8.74394,9.231154
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.913418,8.815187,9.3643025
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.234069,8.451079,8.842574
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.589943,7.866369,8.228156
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.48054,8.382823,8.9316815
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.173877,8.555917,8.864897
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.372964,7.87739,7.125177
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.113107,7.503578,7.8083425
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.595043,8.802377,9.19871
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.4121,8.012034,8.212067
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.268508,6.91086,7.589684
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.291294,10.30328,10.797287
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.915556,10.347682,10.631619
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.06407,10.218016,10.641043
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.876591,9.93879,9.9076905
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.807326,9.477475,9.6424005
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.934821,9.825797,9.880309
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.782022,9.763385,9.7727035
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.002289,8.599319,8.800804
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.65749,9.361806,9.509648
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",11.124014,10.466817,10.7954155
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.638742,10.159565,10.3991535
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.096809,11.032564,11.5646865
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.682218,11.326406,11.504312
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.666377,10.000853,10.333615
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.918956,10.493174,11.206065
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.445425,9.832029,10.138727
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.767664,10.409952,10.588808
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.542909,10.428535,10.485722
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.196574,10.939842,11.068208
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.865232,9.205743,9.5354875
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.815947,11.403124,12.1095355
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.216053,10.770139,11.493096
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.249757,10.001115,10.625436
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.88708,12.311008,12.599044
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.566308,9.324803,9.9455555
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.663795,11.178843,11.421319
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.704465,9.911078,10.3077715
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.345081,9.951643,10.648362
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.728016,11.412574,11.570295
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.894347,9.541126,10.2177365
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.540922,10.207656,10.374289
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.126643,8.808299,8.967471
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.215113,9.939874,10.5774935
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.974754,10.199606,10.58718
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.00202,9.319953,10.1609865
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.011297,9.51872,10.2650085
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.774594,9.830153,10.3023735
