"","sample","tissue","endometriosis","severity","p202090_s_at","p223613_at","UQCR11"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.115988,7.070934,9.593461
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.552171,6.62805,9.5901105
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.750953,6.865709,9.308331
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.510683,6.828327,9.669505
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.71962,6.273462,8.996541
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.492425,6.227279,9.359852
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.94353,6.723218,9.333374
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.561451,5.633795,9.097623
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.381429,6.62422,9.5028245
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.713738,6.432144,9.572941
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.356912,6.607874,9.482393
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.112153,6.213209,9.162681
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.079795,6.069661,9.074728
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.377861,6.878046,9.6279535
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.496122,6.805248,9.650685
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.205787,6.387798,9.2967925
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.448777,6.265762,9.3572695
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.299823,6.662034,9.4809285
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.369543,6.865709,9.617626
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.974099,7.748382,10.8612405
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.00211,6.865709,10.4339095
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.207995,7.51547,10.8617325
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.374911,7.260556,10.3177335
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.959692,6.972898,10.466295
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.858424,8.315737,11.0870805
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.306109,8.74102,11.5235645
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.742666,7.755668,11.249167
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.624474,7.521082,10.572778
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.572888,7.804855,10.6888715
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.230297,8.179134,11.2047155
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.285783,7.775752,11.0307675
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.662487,7.658929,10.660708
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.332983,8.861788,11.5973855
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.571823,8.094343,11.333083
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.24649,6.393085,9.8197875
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.251744,7.66471,10.958227
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.281828,8.372874,11.327351
